adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,8000,1665,57,45,7220.015625,40,8.605,200,36.520655,hot,0,1788421674446738711
med,7000,1665,57,24,7220.015625,14,12.951,200,45.496962,ram_evicted,0,1788421674622137570
med,8000,1905,59,23,7220.703125,14,26.423,200,88.206985,disk_evicted,0,1788421675267335326
med,8000,1905,60,17,7220.703125,12,28.366,200,31.530423,hot,1,1788421675595319893
med,8000,1905,60,31,7220.703125,19,29.153,200,45.033879,ram_evicted,1,1788421675760575096
med,8000,1905,60,23,7220.078125,14,30.19,200,71.332453,disk_evicted,1,1788421676369441075
med,8000,1590,59,32,7220.078125,20,30.151,200,37.806921,hot,2,1788421676680855991
med,8000,1515,59,19,7220.078125,11,29.02,200,51.578051,ram_evicted,2,1788421676861976044
med,8000,1620,58,14,7218.703125,8,26.928,200,92.410031,disk_evicted,2,1788421677513698025
med,8000,1620,59,25,7217.453125,14,25.296,200,36.399669,hot,3,1788421677848508071
med,7000,1620,59,24,7217.453125,14,25.234,200,47.674907,ram_evicted,3,1788421678028898333
med,7000,1725,58,25,7217.453125,16,24.6,200,84.408828,disk_evicted,3,1788421678682126530
med,8000,1725,58,23,7213.078125,15,25.136,200,35.324798,hot,4,1788421679011662515
med,8000,1725,58,23,7213.078125,14,24.874,200,37.182149,ram_evicted,4,1788421679184061916
med,8000,2070,59,26,7212.890625,17,29.116,200,79.312616,disk_evicted,4,1788421679759533569
med,8000,2070,60,25,7212.828125,17,30.721,200,31.449892,hot,5,1788421680075602862
med,8000,2070,60,19,7212.828125,14,31.405,200,41.152655,ram_evicted,5,1788421680217670050
med,8000,2100,60,21,7212.828125,14,31.996,200,87.927198,disk_evicted,5,1788421680813621642
med,8000,2100,59,30,7208.828125,20,31.877,200,30.620174,hot,6,1788421681136774379
med,8000,2100,59,0,7208.828125,0,31.722,200,31.333095,ram_evicted,6,1788421681284448482
med,8000,2505,60,13,7205.453125,10,35.315,200,83.255875,disk_evicted,6,1788421681867184872
med,8000,2505,62,13,7205.453125,12,37.577,200,27.085273,hot,7,1788421682188010427
med,8000,2505,62,13,7205.453125,12,40.032,200,40.43771,ram_evicted,7,1788421682329242803
med,8000,2505,63,9,7205.453125,8,40.685,200,80.769781,disk_evicted,7,1788421682893197883
med,8000,1890,61,17,7205.453125,14,39.978,200,38.103845,hot,8,1788421683257041695
med,7000,1815,61,21,7205.453125,14,38.915,200,42.498528,ram_evicted,8,1788421683421011174
med,8000,2055,60,21,7205.453125,14,32.622,200,77.108773,disk_evicted,8,1788421684012331664
med,8000,2055,59,31,7205.453125,20,30.271,200,26.718778,hot,9,1788421684324768290
med,8000,2055,59,4,7205.453125,4,30.462,200,32.517286,ram_evicted,9,1788421684469005235
med,8000,2340,61,19,7205.453125,14,34.032,200,70.285975,disk_evicted,9,1788421685016804528
med,8000,2340,60,27,7205.453125,20,34.45,200,27.738537,hot,10,1788421685320356589
med,8000,2340,60,4,7205.453125,4,36.107,200,30.664349,ram_evicted,10,1788421685463140184
med,8000,2490,63,18,7205.453125,14,37.595,200,76.378614,disk_evicted,10,1788421686068768211
med,8000,2490,61,11,7205.453125,10,38.524,200,29.129732,hot,11,1788421686386734056
med,8000,2490,61,11,7205.453125,10,39.87,200,28.520126,ram_evicted,11,1788421686525371174
med,8000,2490,61,15,7205.453125,12,39.786,200,71.087902,disk_evicted,11,1788421687124729792
med,7000,1665,60,17,7205.453125,14,39.745,200,35.871607,hot,12,1788421687428664373
med,7000,1605,60,24,7205.453125,16,37.276,200,38.525148,ram_evicted,12,1788421687595470887
med,8000,2070,60,21,7205.453125,14,30.763,200,86.804226,disk_evicted,12,1788421688204779918
med,8000,2070,60,31,7205.453125,20,28.601,200,30.702838,hot,13,1788421688526663537
med,8000,2070,60,0,7205.453125,1,29.683,200,31.707493,ram_evicted,13,1788421688677114914
med,8000,2490,62,14,7205.453125,11,35.386,200,70.593501,disk_evicted,13,1788421689250570747
med,8000,2490,62,4,7205.453125,5,37.041,200,32.070059,hot,14,1788421689553513510
med,8000,2490,62,4,7205.453125,5,39.094,200,28.283382,ram_evicted,14,1788421689699765373
med,8000,2490,61,18,7205.453125,14,39.925,200,81.842629,disk_evicted,14,1788421690261187488
