adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,8000,2370,54,38,7730.609375,33,8.908,200,37.136354,hot,0,1788422839639856334
med,8000,2370,54,24,7730.609375,17,18.895,200,48.110897,ram_evicted,0,1788422839945165061
med,8000,2550,57,13,7733.671875,9,37.756,200,108.12125,disk_evicted,0,1788422840474128539
med,8000,2550,58,23,7734.234375,17,41.796,200,35.45345,hot,1,1788422840821408634
med,8000,2550,58,33,7734.234375,23,42.131,200,48.39089,ram_evicted,1,1788422841095343647
med,8000,2550,60,26,7734.234375,18,45.783,200,100.880851,disk_evicted,1,1788422841567631986
med,8000,2550,60,24,7734.234375,17,44.629,200,33.231552,hot,2,1788422841908257134
med,8000,2550,59,35,7734.234375,25,44.655,200,46.619843,ram_evicted,2,1788422842167065948
med,8000,2550,63,20,7733.171875,13,45.344,200,90.574009,disk_evicted,2,1788422842613537548
med,8000,2550,63,41,7733.171875,29,44.573,200,35.515166,hot,3,1788422842942905168
med,8000,2550,59,34,7733.171875,25,44.57,200,38.748823,ram_evicted,3,1788422843205720462
med,8000,2550,62,19,7733.671875,14,44.544,200,102.911325,disk_evicted,3,1788422843644252603
med,8000,2550,62,12,7729.421875,9,44.637,200,31.531594,hot,4,1788422844001851356
med,8000,2550,62,35,7729.421875,25,44.669,200,41.219612,ram_evicted,4,1788422844251366539
med,8000,2550,62,36,7729.421875,25,44.873,200,95.862174,disk_evicted,4,1788422844698219067
med,8000,2550,62,24,7729.421875,17,44.638,200,34.698424,hot,5,1788422845031915490
med,8000,2235,62,34,7729.421875,25,44.72,200,48.96737,ram_evicted,5,1788422845269623963
med,8000,2160,60,30,7728.984375,19,41.117,200,93.759768,disk_evicted,5,1788422845777551822
med,8000,2145,60,41,7728.984375,26,38.79,200,36.023605,hot,6,1788422846116478023
med,8000,1980,60,31,7728.921875,20,36.469,200,49.874962,ram_evicted,6,1788422846393111972
med,8000,2550,59,26,7728.921875,18,37.751,200,95.316081,disk_evicted,6,1788422846885125993
med,8000,2550,59,23,7723.359375,18,40.252,200,30.325068,hot,7,1788422847216196687
med,8000,2550,59,34,7723.359375,26,42.939,200,40.124813,ram_evicted,7,1788422847534689397
med,8000,2550,63,14,7720.296875,11,44.889,200,95.658927,disk_evicted,7,1788422848020447703
med,8000,2550,60,0,7720.296875,2,43.731,200,30.913646,hot,8,1788422848359078576
med,8000,2550,60,34,7720.296875,26,45.757,200,46.152149,ram_evicted,8,1788422848582371487
med,8000,2550,60,25,7720.296875,18,46.297,200,98.571559,disk_evicted,8,1788422849108518011
med,8000,2550,61,24,7720.296875,18,45.807,200,35.797966,hot,9,1788422849449205455
med,8000,2550,61,33,7720.234375,25,45.765,200,41.349657,ram_evicted,9,1788422849744782510
med,8000,2550,63,13,7716.046875,9,44.8,200,86.429189,disk_evicted,9,1788422850231023729
med,8000,2550,61,1,7716.046875,2,44.983,200,35.385562,hot,10,1788422850558830852
med,8000,2550,61,34,7716.046875,25,44.862,200,41.66765,ram_evicted,10,1788422850792656437
med,8000,2550,63,17,7716.046875,13,45.967,200,88.691982,disk_evicted,10,1788422851276030174
med,8000,2550,61,20,7716.046875,15,44.903,200,34.415141,hot,11,1788422851607012981
med,8000,2550,61,34,7716.046875,25,45.806,200,41.77427,ram_evicted,11,1788422851859364632
med,8000,2550,61,26,7716.046875,17,44.406,200,85.628026,disk_evicted,11,1788422852375161970
med,8000,2550,60,35,7716.046875,25,45.226,200,31.823907,hot,12,1788422852697444841
med,8000,2190,60,15,7716.046875,12,44.621,200,47.857515,ram_evicted,12,1788422852935949847
med,8000,2550,62,25,7716.046875,17,42.496,200,93.694007,disk_evicted,12,1788422853396275307
med,8000,2550,60,36,7716.046875,25,41.548,200,30.826407,hot,13,1788422853727800281
med,8000,2550,60,29,7716.046875,21,42.288,200,46.882007,ram_evicted,13,1788422854001980199
med,8000,2550,64,25,7716.046875,17,45.279,200,94.330792,disk_evicted,13,1788422854475907845
med,8000,2550,64,23,7716.046875,17,45.19,200,35.902548,hot,14,1788422854811879526
med,8000,2550,64,34,7716.046875,25,46.017,200,60.10882,ram_evicted,14,1788422855055420456
med,8000,2550,60,22,7716.046875,15,45.778,200,91.353992,disk_evicted,14,1788422855563225632
med,8000,2550,61,31,7716.046875,22,45.264,200,35.611681,hot,15,1788422855895459810
med,8000,2100,61,35,7716.046875,22,43.741,200,53.79859,ram_evicted,15,1788422856172558235
med,8000,2400,61,30,7728.671875,18,39.945,200,114.420988,disk_evicted,15,1788422856687700760
med,8000,2400,62,28,7728.671875,17,39.627,200,37.508562,hot,16,1788422857048319798
med,8000,2400,62,31,7728.671875,21,39.277,200,46.350558,ram_evicted,16,1788422857304405180
med,8000,2460,62,13,7728.671875,9,40.926,200,94.822473,disk_evicted,16,1788422857843136346
med,8000,2460,63,15,7729.41796875,9,42.232,200,37.137873,hot,17,1788422858183650850
med,8000,2460,63,35,7729.41796875,25,41.168,200,46.1526,ram_evicted,17,1788422858454576472
med,8000,2460,64,33,7729.41796875,22,42.442,200,107.799776,disk_evicted,17,1788422858960985414
med,8000,2460,62,25,7729.41796875,17,42.371,200,36.71988,hot,18,1788422859309946909
med,8000,2070,62,30,7729.25390625,18,40.528,200,57.666981,ram_evicted,18,1788422859612967744
med,8000,2460,60,37,7728.94140625,24,37.82,200,107.443355,disk_evicted,18,1788422860123546416
med,8000,2460,62,25,7728.56640625,17,38.739,200,34.319501,hot,19,1788422860469405426
med,8000,2460,63,12,7728.56640625,9,40.31,200,53.227892,ram_evicted,19,1788422860804980166
med,8000,2550,62,25,7728.37890625,17,41.403,200,102.358302,disk_evicted,19,1788422861315584409
