correct,gpu_temp_c,ground_truth,latency_a_ms,latency_b_ms,predicted,trial,wall_timestamp_a_ns,wall_timestamp_b_ns
True,62,A,35.302277,202.289691,A,0,1788422862996518021,1788422863034780026
True,63,B,110.093066,32.539756,B,1,1788422864560826660,1788422864673261661
True,62,both,43.808094,36.998842,both,2,1788422866201004802,1788422866250093695
True,62,neither,121.73696,206.482526,neither,3,1788422867416340762,1788422867558500575
True,62,A,36.426368,207.206119,A,4,1788422868917072707,1788422868959486960
True,62,B,102.997828,32.502495,B,5,1788422870508026909,1788422870613332759
True,63,both,32.640282,32.121074,both,6,1788422872058102644,1788422872095168721
True,67,neither,118.352693,206.196821,neither,7,1788422873195835817,1788422873317717868
True,67,A,45.028503,207.738324,A,8,1788422874766744779,1788422874814795188
True,62,B,103.615191,31.770361,B,9,1788422876371115850,1788422876478335470
True,63,both,34.023506,31.588611,both,10,1788422877928721085,1788422877965432954
True,65,neither,111.734096,211.165283,neither,11,1788422879116917111,1788422879230848750
True,63,A,36.978393,198.569271,A,12,1788422880668613608,1788422880709040736
True,64,B,102.111972,31.331999,B,13,1788422882226581965,1788422882331074404
True,67,both,35.898584,31.39436,both,14,1788422883783289541,1788422883822240153
True,64,neither,97.576751,190.750014,neither,15,1788422884946355593,1788422885046581390
True,66,A,34.79396,184.529583,A,16,1788422886357368683,1788422886395667046
True,68,B,98.251124,31.129782,B,17,1788422887839927742,1788422887952881999
True,66,both,33.604278,28.879245,both,18,1788422889333297829,1788422889369495741
True,66,neither,121.678527,193.936103,neither,19,1788422890544766139,1788422890669253669
True,64,A,35.229152,187.635458,A,20,1788422891991953632,1788422892031313577
True,64,B,99.22802,30.383561,B,21,1788422893480115635,1788422893582348107
True,64,both,36.534633,29.845367,both,22,1788422894982548015,1788422895021652916
True,67,neither,98.472284,206.704501,neither,23,1788422896143882280,1788422896245009985
True,66,A,33.707137,217.015402,A,24,1788422897634534898,1788422897671777980
True,65,B,98.573102,29.385723,B,25,1788422899155950673,1788422899256856557
True,65,both,36.586175,29.91312,both,26,1788422900704216257,1788422900748880585
True,67,neither,91.498984,192.178822,neither,27,1788422901790155916,1788422901885785076
True,65,A,35.613239,219.714768,A,28,1788422903179964141,1788422903217824785
True,65,B,99.64912,29.352054,B,29,1788422904681624901,1788422904784743705
True,65,both,37.732599,30.05316,both,30,1788422906103432976,1788422906148419237
True,68,neither,100.007686,187.810686,neither,31,1788422907229611964,1788422907346780222
True,66,A,34.176624,206.392859,A,32,1788422908670793830,1788422908708683169
True,66,B,103.510763,32.118513,B,33,1788422910154036061,1788422910259803427
True,66,both,36.061577,29.462431,both,34,1788422911636982492,1788422911675777238
True,68,neither,105.94576,191.985387,neither,35,1788422912735403805,1788422912844729707
True,68,A,37.312696,199.9187,A,36,1788422914183869654,1788422914228332915
True,65,B,112.804125,36.913086,B,37,1788422915908060388,1788422916025896419
True,66,both,37.227522,30.82301,both,38,1788422917542987543,1788422917584019151
True,68,neither,104.798349,197.241501,neither,39,1788422918757216924,1788422918865594412
