trial,adapter,rank,latency_ms
0,med_r1,1,31.696112
0,med,8,30.18161
0,med_r16,16,35.142776
0,med_r32,32,35.075625
0,med_r64,64,37.321578
1,med_r1,1,30.016391
1,med,8,38.558378
1,med_r16,16,32.915614
1,med_r32,32,34.04988
1,med_r64,64,39.593521
2,med_r1,1,28.384521
2,med,8,30.760068
2,med_r16,16,33.454183
2,med_r32,32,36.47085
2,med_r64,64,37.671611
3,med_r1,1,28.920345
3,med,8,30.561511
3,med_r16,16,32.809926
3,med_r32,32,37.861914
3,med_r64,64,41.867885
4,med_r1,1,36.599727
4,med,8,29.58779
4,med_r16,16,36.94177
4,med_r32,32,34.312357
4,med_r64,64,39.863955
5,med_r1,1,39.49513
5,med,8,30.209583
5,med_r16,16,30.494194
5,med_r32,32,39.949411
5,med_r64,64,39.856641
6,med_r1,1,36.12718
6,med,8,29.943685
6,med_r16,16,41.916928
6,med_r32,32,39.06265
6,med_r64,64,48.962331
7,med_r1,1,31.332851
7,med,8,29.504256
7,med_r16,16,30.171976
7,med_r32,32,32.148857
7,med_r64,64,39.399487
8,med_r1,1,27.47629
8,med,8,39.322836
8,med_r16,16,40.744488
8,med_r32,32,40.818399
8,med_r64,64,38.23942
9,med_r1,1,27.764578
9,med,8,36.988074
9,med_r16,16,30.590996
9,med_r32,32,33.351311
9,med_r64,64,42.693646
10,med_r1,1,32.913218
10,med,8,34.722274
10,med_r16,16,30.933436
10,med_r32,32,34.883284
10,med_r64,64,40.953406
11,med_r1,1,35.496351
11,med,8,33.12974
11,med_r16,16,29.634661
11,med_r32,32,32.375866
11,med_r64,64,39.204483
12,med_r1,1,27.98285
12,med,8,28.581361
12,med_r16,16,30.188001
12,med_r32,32,34.974155
12,med_r64,64,39.545077
13,med_r1,1,28.625012
13,med,8,31.585146
13,med_r16,16,31.855602
13,med_r32,32,34.715631
13,med_r64,64,38.88182
14,med_r1,1,31.754847
14,med,8,33.55436
14,med_r16,16,38.216103
14,med_r32,32,37.96829
14,med_r64,64,38.862536
