trial,adapter,rank,latency_ms
0,med_r1,1,54.869469
0,med,8,87.500479
0,med_r16,16,129.669337
0,med_r32,32,180.465603
0,med_r64,64,320.447418
1,med_r1,1,79.63264
1,med,8,101.081056
1,med_r16,16,133.235989
1,med_r32,32,177.927196
1,med_r64,64,283.161766
2,med_r1,1,74.080057
2,med,8,100.51767
2,med_r16,16,135.334048
2,med_r32,32,180.332783
2,med_r64,64,266.947911
3,med_r1,1,73.716746
3,med,8,104.719444
3,med_r16,16,127.662864
3,med_r32,32,177.187993
3,med_r64,64,332.367963
4,med_r1,1,65.427036
4,med,8,107.549441
4,med_r16,16,129.635958
4,med_r32,32,177.485729
4,med_r64,64,265.506389
5,med_r1,1,66.77848
5,med,8,93.528976
5,med_r16,16,132.94076
5,med_r32,32,178.376007
5,med_r64,64,280.397449
6,med_r1,1,65.238842
6,med,8,96.277995
6,med_r16,16,123.143393
6,med_r32,32,187.737871
6,med_r64,64,292.526907
7,med_r1,1,63.374265
7,med,8,105.311128
7,med_r16,16,135.994285
7,med_r32,32,210.421883
7,med_r64,64,293.87923
8,med_r1,1,66.097866
8,med,8,93.238162
8,med_r16,16,127.104524
8,med_r32,32,197.556265
8,med_r64,64,295.596649
9,med_r1,1,65.551888
9,med,8,110.721876
9,med_r16,16,139.81786
9,med_r32,32,172.97963
9,med_r64,64,304.545613
10,med_r1,1,67.056432
10,med,8,97.857166
10,med_r16,16,116.260234
10,med_r32,32,212.541724
10,med_r64,64,267.055774
11,med_r1,1,68.426407
11,med,8,98.681467
11,med_r16,16,129.880383
11,med_r32,32,190.53962
11,med_r64,64,263.461296
12,med_r1,1,62.392207
12,med,8,100.963213
12,med_r16,16,120.878546
12,med_r32,32,169.351069
12,med_r64,64,249.57569
13,med_r1,1,60.101356
13,med,8,91.842865
13,med_r16,16,153.901517
13,med_r32,32,170.851658
13,med_r64,64,260.813506
14,med_r1,1,66.639115
14,med,8,103.046677
14,med_r16,16,131.819701
14,med_r32,32,170.243953
14,med_r64,64,318.476105
