adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,8000,2370,39,29,7895.4921875,27,7.145,200,303.557075,hot,0,1788636922297121083
med,8000,2370,41,10,7895.4921875,8,25.962,200,302.55824,ram_evicted,0,1788636923537168931
med,6000,570,40,34,7895.4921875,10,14.993,200,301.573089,disk_evicted,0,1788636925695250158
med,6000,465,40,0,7895.4921875,2,11.972,200,302.301449,hot,1,1788636926523966546
med,6000,495,40,38,7895.4921875,9,11.654,200,302.424316,ram_evicted,1,1788636927783685875
med,6000,510,40,14,7900.2421875,4,15.245,200,302.023834,disk_evicted,1,1788636930013304018
med,6000,465,40,0,7900.2421875,2,11.893,200,301.657298,hot,2,1788636930843451395
med,6000,510,41,40,7900.2421875,10,11.843,200,301.67649,ram_evicted,2,1788636932079001203
med,6000,495,41,42,7900.2421875,10,11.845,200,301.75263,disk_evicted,2,1788636934244253123
med,6000,510,41,0,7895.4921875,1,11.471,200,302.574341,hot,3,1788636935065796874
med,6000,510,41,39,7895.4921875,10,11.79,200,302.661155,ram_evicted,3,1788636936326100611
med,6000,510,41,39,7895.4921875,10,16.582,200,302.353972,disk_evicted,3,1788636938508137788
med,6000,450,41,0,7895.4921875,2,11.862,200,303.067345,hot,4,1788636939331864211
med,6000,495,41,35,7895.4921875,9,13.26,200,302.795225,ram_evicted,4,1788636940565474483
med,6000,510,41,40,7895.4921875,10,12.002,200,303.21137,disk_evicted,4,1788636942730114750
med,6000,450,41,0,7895.4921875,2,11.886,200,302.186257,hot,5,1788636943554576693
med,6000,495,41,25,7895.4921875,7,11.488,200,302.734218,ram_evicted,5,1788636944787660808
med,6000,600,42,32,7895.4921875,10,14.361,200,302.950951,disk_evicted,5,1788636946969060569
med,6000,600,41,0,7895.4921875,2,11.988,200,302.555103,hot,6,1788636947792793725
med,6000,510,41,36,7895.4921875,10,13.737,200,302.155214,ram_evicted,6,1788636949025478060
med,6000,480,42,31,7895.4921875,8,14.287,200,302.141164,disk_evicted,6,1788636951177535534
med,6000,510,41,0,7895.4921875,2,11.943,200,302.732499,hot,7,1788636952002435003
med,6000,495,41,37,7895.4921875,10,13.725,200,303.02175,ram_evicted,7,1788636953239086047
med,6000,480,41,20,7895.4921875,6,15.313,200,302.974491,disk_evicted,7,1788636955395543075
med,6000,495,41,0,7895.4921875,2,11.89,200,303.084801,hot,8,1788636956216393769
med,6000,525,42,40,7895.4921875,10,13.764,200,302.644688,ram_evicted,8,1788636957460028801
med,6000,480,41,33,7895.4921875,9,13.745,200,302.502997,disk_evicted,8,1788636959620618503
med,6000,510,42,1,7895.4921875,2,11.941,200,303.437258,hot,9,1788636960439623763
med,6000,510,41,39,7895.4921875,10,13.86,200,302.109269,ram_evicted,9,1788636961676164671
med,6000,510,41,39,7895.4921875,10,14.142,200,302.189585,disk_evicted,9,1788636963849723028
med,6000,510,41,0,7895.4921875,2,11.933,200,302.241626,hot,10,1788636964671984497
med,6000,510,42,48,7895.4921875,10,14.122,200,303.41394,ram_evicted,10,1788636965917414282
med,6000,510,41,43,7906.5546875,10,15.295,200,301.732624,disk_evicted,10,1788636968104047267
med,6000,720,42,12,7947.0,3,11.719,200,302.789677,hot,11,1788636968931067091
med,6000,720,42,22,7947.75,7,14.301,200,302.281979,ram_evicted,11,1788636970171891748
med,6000,720,42,29,7951.625,10,14.977,200,302.645666,disk_evicted,11,1788636972351730015
med,6000,555,42,1,7951.625,2,12.734,200,302.306378,hot,12,1788636973200101672
med,6000,540,42,39,7920.5546875,11,14.245,200,302.72424,ram_evicted,12,1788636974480740204
med,6000,645,42,50,7905.8046875,11,14.29,200,302.342913,disk_evicted,12,1788636976670261896
med,6000,675,42,10,7892.9921875,2,12.144,200,302.471279,hot,13,1788636977488471074
med,6000,675,42,32,7893.6796875,8,11.874,200,302.386051,ram_evicted,13,1788636978756415478
med,6000,540,42,38,7898.6171875,10,14.125,200,301.778932,disk_evicted,13,1788636980920948059
med,6000,480,42,1,7898.7421875,2,11.902,200,302.507044,hot,14,1788636981744913363
med,6000,585,42,25,7909.1796875,4,14.095,200,302.224022,ram_evicted,14,1788636982981027745
med,6000,720,42,28,7900.9921875,9,15.048,200,301.67812,disk_evicted,14,1788636985155560062
med,6000,510,42,0,7900.9921875,2,11.995,200,302.757656,hot,15,1788636985986083304
med,6000,525,42,34,7901.3671875,9,12.018,200,303.144264,ram_evicted,15,1788636987221352973
med,6000,540,42,11,7893.6171875,4,15.257,200,301.694402,disk_evicted,15,1788636989395495873
med,6000,540,42,1,7886.9921875,2,12.132,200,302.068938,hot,16,1788636990220565408
med,6000,510,42,40,7882.9921875,10,12.145,200,302.490551,ram_evicted,16,1788636991463195237
med,6000,705,42,40,7892.3671875,11,13.377,200,301.53974,disk_evicted,16,1788636993656062159
med,6000,705,43,1,7893.0546875,1,11.836,200,301.834504,hot,17,1788636994474313699
med,6000,555,43,29,7890.4296875,10,13.403,200,303.737942,ram_evicted,17,1788636995717362134
med,6000,675,42,51,7893.7421875,11,15.322,200,302.260112,disk_evicted,17,1788636997893033253
