adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,8000,2370,53,29,8017.203125,21,27.522,200,162.953089,hot,0,1788638115126727106
med,8000,2370,55,14,8011.203125,8,31.904,200,152.212684,ram_evicted,0,1788638115766857819
med,8000,1365,56,28,7982.890625,9,17.437,200,151.487484,disk_evicted,0,1788638116944232299
med,8000,1305,54,21,8022.421875,8,16.922,200,151.626885,hot,1,1788638117458917366
med,8000,1815,55,17,8036.421875,8,21.381,200,151.500281,ram_evicted,1,1788638118136118490
med,8000,1875,56,29,8056.953125,13,29.167,200,151.525097,disk_evicted,1,1788638119283238419
med,8000,1875,56,7,8054.921875,3,22.097,200,152.089091,hot,2,1788638119796198982
med,8000,1875,56,17,8058.796875,8,34.196,200,152.331825,ram_evicted,2,1788638120438058717
med,8000,1230,55,33,8021.7421875,12,20.981,200,151.465847,disk_evicted,2,1788638121598181837
med,8000,1215,55,9,7982.859375,1,15.901,200,152.944805,hot,3,1788638122110241063
med,8000,1215,55,27,7964.734375,9,17.168,200,151.454523,ram_evicted,3,1788638122763692939
med,8000,1245,55,19,7955.421875,8,19.023,200,151.665103,disk_evicted,3,1788638124010954404
med,8000,1380,55,3,7955.796875,0,16.282,200,151.919007,hot,4,1788638124530410241
med,8000,1380,55,23,7917.484375,8,25.153,200,151.580172,ram_evicted,4,1788638125159010627
med,6000,975,55,22,7917.984375,10,16.315,200,151.926445,disk_evicted,4,1788638126329233402
med,8000,1065,55,18,7896.796875,8,15.198,200,152.578549,hot,5,1788638126855464033
med,8000,1260,55,20,7893.359375,8,23.854,200,152.205981,ram_evicted,5,1788638127649402754
med,8000,1485,55,47,7914.609375,15,17.267,200,151.548695,disk_evicted,5,1788638128848109703
med,8000,1485,56,5,7908.546875,1,16.81,200,152.12988,hot,6,1788638129361434024
med,8000,1485,57,18,7909.671875,8,17.509,200,151.696881,ram_evicted,6,1788638130120160508
med,8000,1425,56,37,7927.3984375,13,19.918,200,151.928713,disk_evicted,6,1788638131444027361
med,8000,1515,56,12,7931.9609375,3,20.497,200,151.640486,hot,7,1788638131955817873
med,8000,1515,57,27,7931.5546875,9,20.952,200,151.601899,ram_evicted,7,1788638132628041331
med,8000,1050,57,32,7921.984375,8,20.802,200,185.701696,disk_evicted,7,1788638133797312210
med,8000,1035,57,4,7911.609375,1,18.707,200,151.822851,hot,8,1788638134343276950
med,8000,1035,58,32,7923.109375,9,19.303,200,152.083891,ram_evicted,8,1788638135025789868
med,6000,765,57,26,7921.921875,10,14.5,200,151.439869,disk_evicted,8,1788638136401182043
med,6000,1005,58,0,7921.984375,0,12.684,200,152.547554,hot,9,1788638136917734077
med,6000,1005,58,35,7922.484375,12,16.313,200,151.863726,ram_evicted,9,1788638137584419310
med,8000,1425,57,27,7914.8828125,13,20.726,200,152.153418,disk_evicted,9,1788638138805557435
med,8000,1425,59,6,7914.8203125,2,16.723,200,152.831305,hot,10,1788638139321446583
med,6000,900,58,22,7914.8203125,10,25.727,200,151.509533,ram_evicted,10,1788638139975410272
med,8000,1170,58,26,7915.1953125,8,16.823,200,152.096681,disk_evicted,10,1788638141101754481
med,8000,1170,58,17,7915.1953125,8,16.247,200,152.134562,hot,11,1788638141629768770
med,6000,975,58,26,7916.0703125,11,18.147,200,151.686484,ram_evicted,11,1788638142300981552
med,6000,1005,57,24,7910.9453125,9,13.08,200,158.350249,disk_evicted,11,1788638143607457669
med,7000,1125,57,0,7916.5078125,1,14.567,200,152.051775,hot,12,1788638144137247977
med,7000,1125,58,23,7916.6328125,9,21.217,200,151.469823,ram_evicted,12,1788638144768014603
med,6000,870,58,23,7912.7578125,10,16.303,200,151.702682,disk_evicted,12,1788638145908182607
med,6000,1005,58,2,7913.0078125,1,12.886,200,152.822153,hot,13,1788638146464968288
med,6000,1005,58,21,7913.9453125,10,13.139,200,151.970882,ram_evicted,13,1788638147107670844
med,7000,1125,57,34,7913.9453125,15,14.042,200,152.336501,disk_evicted,13,1788638148406857764
med,8000,1260,58,0,7913.9453125,1,15.837,200,151.854861,hot,14,1788638148926301100
med,8000,1260,58,17,7912.8828125,7,19.679,200,152.195637,ram_evicted,14,1788638149558343726
med,8000,1365,58,30,7913.1328125,14,21.482,200,152.460053,disk_evicted,14,1788638150806281734
med,8000,1365,58,0,7913.1328125,1,17.24,200,152.551667,hot,15,1788638151328323336
med,6000,900,58,29,7912.3203125,11,18.869,200,152.111887,ram_evicted,15,1788638151956058925
med,8000,1035,58,20,7908.5703125,8,17.755,200,151.564477,disk_evicted,15,1788638153187418491
med,8000,1035,59,4,7908.6953125,1,16.117,200,152.113365,hot,16,1788638153704290251
med,6000,840,58,26,7908.9453125,10,14.894,200,151.703135,ram_evicted,16,1788638154390066363
med,8000,1185,58,21,7909.3203125,8,22.419,200,151.65558,disk_evicted,16,1788638155562508767
med,8000,1185,58,0,7909.3203125,1,16.082,200,152.53703,hot,17,1788638156077213705
med,6000,795,58,31,7909.3203125,10,15.232,200,151.666626,ram_evicted,17,1788638156721036047
med,8000,1305,58,11,7909.4453125,5,18.657,200,151.638842,disk_evicted,17,1788638157870900417
med,8000,1305,59,14,7906.5703125,5,17.311,200,152.266484,hot,18,1788638158382597422
med,6000,885,58,23,7922.8203125,10,16.191,200,151.429241,ram_evicted,18,1788638159041367301
med,8000,1650,59,21,7978.8203125,8,25.45,200,151.941719,disk_evicted,18,1788638160280000863
med,8000,1650,59,17,7978.8203125,7,19.904,200,152.028021,hot,19,1788638160797279360
med,8000,1650,60,21,8002.703125,8,26.38,200,151.674315,ram_evicted,19,1788638161647070602
med,8000,1785,59,24,7997.4921875,9,28.872,200,151.627108,disk_evicted,19,1788638162957034268
med,8000,1785,60,13,8026.6796875,3,22.81,200,151.757263,hot,20,1788638163472732022
med,8000,1380,61,22,8042.1796875,8,18.229,200,151.686653,ram_evicted,20,1788638164102720687
med,8000,1710,60,6,8076.9921875,2,28.912,200,151.845299,disk_evicted,20,1788638165280161677
med,8000,2130,60,32,8119.5859375,10,24.767,200,151.590954,hot,21,1788638165790658261
med,8000,2130,61,22,8095.4609375,10,48.679,200,151.804774,ram_evicted,21,1788638166466913522
med,8000,1485,61,39,7988.5859375,15,21.565,200,166.865812,disk_evicted,21,1788638167635698864
med,8000,1320,61,8,7990.3359375,3,16.545,200,151.730305,hot,22,1788638168169266607
med,8000,1110,60,18,8017.3125,4,18.757,200,152.288393,ram_evicted,22,1788638168886806498
med,8000,1170,60,44,8009.6875,12,30.777,200,151.614356,disk_evicted,22,1788638170063424178
med,8000,1170,60,10,8006.48828125,4,19.284,200,151.906439,hot,23,1788638170574337256
med,8000,1170,60,20,7954.67578125,8,19.389,200,151.600971,ram_evicted,23,1788638171206238925
med,8000,1185,60,41,7898.48828125,14,16.343,200,151.468191,disk_evicted,23,1788638172406860364
med,8000,1185,61,1,7883.42578125,1,17.229,200,151.729498,hot,24,1788638172916693958
med,8000,1185,61,25,7863.23828125,8,20.561,200,161.498207,ram_evicted,24,1788638173549100329
med,8000,1230,61,19,7858.30078125,8,16.126,200,152.414762,disk_evicted,24,1788638174710166026
med,8000,1230,61,19,7855.23828125,8,16.895,200,151.6261,hot,25,1788638175226499985
med,8000,1110,61,28,7863.48828125,12,28.913,200,151.930787,ram_evicted,25,1788638175867427616
med,8000,1155,61,7,7851.61328125,2,16.227,200,151.733828,disk_evicted,25,1788638177103111665
med,8000,1185,61,18,7851.42578125,7,17.079,200,151.842902,hot,26,1788638177637519623
med,8000,1215,61,27,7852.30078125,10,20.076,200,151.81698,ram_evicted,26,1788638178276006493
med,8000,1215,61,36,7856.30078125,14,16.511,200,151.433644,disk_evicted,26,1788638179432674925
med,8000,1305,61,3,7861.80078125,1,16.314,200,151.713446,hot,27,1788638179943443725
med,8000,1305,61,23,7847.48828125,8,21.891,200,151.904289,ram_evicted,27,1788638180579712786
med,6000,960,61,25,7848.23828125,10,17.166,200,151.634345,disk_evicted,27,1788638181728579928
med,8000,1035,61,3,7833.86328125,1,15.955,200,151.848592,hot,28,1788638182251215826
med,8000,1035,61,24,7855.42578125,9,20.16,200,151.732664,ram_evicted,28,1788638182889710320
med,8000,1485,61,19,7881.80859375,8,20.061,200,151.882377,disk_evicted,28,1788638184243548125
med,8000,1485,62,4,7859.30859375,1,18.229,200,151.674889,hot,29,1788638184758721915
med,8000,1485,62,17,7885.43359375,8,32.124,200,151.836026,ram_evicted,29,1788638185446929703
med,8000,1215,62,20,7886.55859375,7,22.026,200,151.597635,disk_evicted,29,1788638186682135681
med,8000,1215,63,18,7894.93359375,7,17.859,200,152.01951,hot,30,1788638187203941978
med,8000,1215,62,8,7881.24609375,3,19.715,200,151.784187,ram_evicted,30,1788638187869728809
med,6000,975,63,28,7889.87109375,12,15.291,200,151.522844,disk_evicted,30,1788638189173453799
med,6000,1020,62,4,7894.37109375,2,13.749,200,151.829503,hot,31,1788638189688054380
med,6000,1020,62,25,7884.87109375,11,19.969,200,151.607832,ram_evicted,31,1788638190406175772
med,8000,1110,62,27,7883.98828125,9,20.625,200,151.43794,disk_evicted,31,1788638191560373815
med,8000,1110,62,8,7884.86328125,1,18.601,200,151.672888,hot,32,1788638192076542088
med,6000,915,62,26,7895.18359375,11,20.679,200,151.698375,ram_evicted,32,1788638192724566743
med,8000,1245,63,29,7886.30859375,10,19.412,200,151.613003,disk_evicted,32,1788638193874513272
med,8000,1245,63,18,7882.12109375,8,17.7,200,151.841843,hot,33,1788638194389955907
med,6000,855,63,23,7890.37109375,9,15.466,200,151.633561,ram_evicted,33,1788638195094595316
med,6000,945,62,34,7851.23046875,12,26.356,200,151.657052,disk_evicted,33,1788638196276795939
med,6000,945,63,23,7834.10546875,10,13.867,200,151.711071,hot,34,1788638196792643649
med,6000,945,63,25,7840.73046875,11,14.148,200,151.679298,ram_evicted,34,1788638197425828610
med,8000,1455,63,13,7834.85546875,5,19.954,200,151.824324,disk_evicted,34,1788638198673732901
med,8000,1455,63,17,7836.23046875,8,17.622,200,151.782966,hot,35,1788638199187081965
med,8000,1455,64,16,7836.23046875,8,18.417,200,151.617392,ram_evicted,35,1788638199820020795
med,8000,1200,64,47,7837.53515625,19,19.857,200,151.609482,disk_evicted,35,1788638201053500122
med,8000,1200,63,13,7823.78515625,5,17.287,200,152.120931,hot,36,1788638201568509539
med,8000,1200,63,19,7837.53515625,8,29.602,200,151.996118,ram_evicted,36,1788638202210571983
med,8000,1260,63,21,7837.91015625,8,21.497,200,151.490225,disk_evicted,36,1788638203332013800
med,8000,1260,64,3,7835.28515625,1,17.196,200,152.473403,hot,37,1788638203849472225
med,8000,1260,63,21,7835.09765625,8,20.184,200,152.272152,ram_evicted,37,1788638204491770894
med,8000,2370,64,19,7864.97265625,10,30.774,200,152.714477,disk_evicted,37,1788638205693033615
med,8000,2370,66,10,7851.22265625,7,30.578,200,151.714262,hot,38,1788638206219783072
med,8000,2370,65,13,7851.41015625,8,37.61,200,151.759391,ram_evicted,38,1788638206857285615
med,8000,2370,66,26,8077.69140625,10,65.516,200,151.874258,disk_evicted,38,1788638208151501462
med,8000,2370,66,12,8063.2734375,4,32.027,200,152.087378,hot,39,1788638208710673293
med,8000,1695,66,18,8057.6484375,8,27.822,200,151.675588,ram_evicted,39,1788638209365384282
med,8000,1875,65,24,8034.6796875,11,26.543,200,151.78145,disk_evicted,39,1788638210721594552
med,8000,1875,67,7,8035.9921875,1,27.989,200,152.017962,hot,40,1788638211245743104
med,8000,1770,66,38,8078.3671875,14,28.252,200,152.312586,ram_evicted,40,1788638211919953406
med,8000,1860,66,18,8025.296875,9,29.438,200,151.711012,disk_evicted,40,1788638213253877101
med,8000,1860,66,10,7951.234375,4,23.554,200,153.271613,hot,41,1788638213767212222
med,8000,1185,66,27,7952.546875,8,17.167,200,151.858605,ram_evicted,41,1788638214410783754
med,8000,1425,65,38,7932.515625,13,34.121,200,151.790883,disk_evicted,41,1788638215586023678
med,8000,1620,65,16,7951.765625,4,22.211,200,151.746506,hot,42,1788638216099574935
med,8000,1620,65,20,7951.390625,8,20.098,200,151.659898,ram_evicted,42,1788638216726189347
med,8000,1365,65,51,7974.3359375,16,35.694,200,151.785237,disk_evicted,42,1788638218055959590
med,8000,1695,65,15,7953.5859375,6,21.639,200,152.037449,hot,43,1788638218567660857
med,8000,1695,65,18,7956.15234375,8,20.682,200,152.097557,ram_evicted,43,1788638219206059251
med,8000,1260,65,52,7933.8203125,16,28.556,200,152.38244,disk_evicted,43,1788638220464909725
med,8000,1590,66,29,8001.703125,10,22.089,200,151.645854,hot,44,1788638220978122903
med,8000,1590,67,33,8078.8203125,11,21.849,200,151.608109,ram_evicted,44,1788638221709545715
med,8000,1935,67,30,8050.5078125,15,32.488,200,155.291702,disk_evicted,44,1788638222834100639
med,8000,2010,67,23,8098.0703125,8,32.938,200,151.936579,hot,45,1788638223348849564
med,8000,2010,67,21,8013.6875,9,52.618,200,151.573974,ram_evicted,45,1788638223970124078
med,8000,1395,67,25,8018.0625,9,19.396,200,151.766918,disk_evicted,45,1788638225095212863
med,8000,1605,66,26,8016.625,9,20.373,200,151.942899,hot,46,1788638225612490744
med,8000,1605,66,26,7978.03125,9,27.941,200,151.833824,ram_evicted,46,1788638226263522620
med,8000,1485,66,22,7970.2734375,6,22.102,200,151.517934,disk_evicted,46,1788638227478959255
med,8000,1500,67,30,7940.6484375,10,23.058,200,151.743929,hot,47,1788638228009733426
med,8000,1515,67,29,8010.3359375,10,25.828,200,151.816062,ram_evicted,47,1788638228645094590
med,8000,2130,69,29,8043.671875,15,26.825,200,151.693822,disk_evicted,47,1788638229782122728
med,8000,2130,70,6,7977.484375,1,25.275,200,154.806302,hot,48,1788638230301296167
med,8000,1350,67,11,8023.296875,2,18.23,200,151.913005,ram_evicted,48,1788638231099707469
med,8000,1650,66,12,8018.53125,6,24.55,200,151.576546,disk_evicted,48,1788638232447563613
med,8000,1800,67,12,7964.03125,6,25.142,200,151.683115,hot,49,1788638232958488399
med,8000,2535,67,7,7971.78125,5,46.478,200,151.688757,ram_evicted,49,1788638233648307220
med,8000,1395,69,1,7965.09375,1,33.124,200,166.748543,disk_evicted,49,1788638234878303313
med,8000,1320,68,26,7917.53125,11,17.794,200,152.041832,hot,50,1788638235416689216
med,8000,1125,67,22,7887.78125,6,27.975,200,151.704917,ram_evicted,50,1788638236271703958
med,8000,2535,71,1,7917.09375,1,35.394,200,206.835296,disk_evicted,50,1788638237885877409
med,8000,2535,69,1,7899.34375,2,38.097,200,151.786354,hot,51,1788638238456120314
med,8000,1470,69,13,7949.40625,8,19.211,200,152.08035,ram_evicted,51,1788638239389573855
med,8000,1650,68,28,8041.703125,11,23.142,200,151.54011,disk_evicted,51,1788638240672017272
med,8000,2445,68,10,8009.953125,8,31.067,200,151.80339,hot,52,1788638241201639546
med,8000,2445,70,11,7915.203125,8,42.097,200,151.954578,ram_evicted,52,1788638241848496845
med,8000,1695,70,27,7955.484375,12,23.123,200,151.581814,disk_evicted,52,1788638243040306951
med,8000,2535,69,9,8016.671875,7,35.279,200,152.19808,hot,53,1788638243549869003
med,8000,2535,70,20,7895.8515625,16,61.258,200,151.964503,ram_evicted,53,1788638244243923623
med,8000,2535,70,1,7842.7265625,1,33.925,200,272.358341,disk_evicted,53,1788638245874819589
med,8000,2535,71,5,7870.1640625,1,38.725,200,151.744286,hot,54,1788638246505985159
med,8000,2535,71,9,7838.6015625,11,39.261,200,152.051853,ram_evicted,54,1788638247190429156
med,8000,2535,71,19,7842.1015625,18,39.93,200,151.568074,disk_evicted,54,1788638248573738173
med,8000,2535,72,2,7823.2890625,1,39.978,200,151.782303,hot,55,1788638249084527114
med,8000,2535,71,2,7822.2890625,1,33.937,200,151.851863,ram_evicted,55,1788638249887159521
med,8000,2535,70,13,7820.3515625,10,34.19,200,152.097314,disk_evicted,55,1788638251054329181
med,8000,2535,71,10,7813.0390625,8,39.402,200,152.729885,hot,56,1788638251570351306
med,8000,2535,71,10,7811.2734375,10,49.476,200,151.511074,ram_evicted,56,1788638252224524454
