adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,8000,1620,36,46,7928.4296875,40,16.615,200,151.725881,hot,0,1788636772379060465
med,8000,1620,38,14,7928.4296875,8,16.779,200,151.52887,ram_evicted,0,1788636773015334566
med,6000,945,38,14,7928.4296875,8,16.775,200,152.134021,disk_evicted,0,1788636774165606139
med,8000,1140,38,0,7928.4296875,1,14.017,200,152.72007,hot,1,1788636774687955363
med,8000,1140,38,20,7922.5546875,8,14.45,200,151.807844,ram_evicted,1,1788636775323870398
med,6000,900,38,26,7922.5546875,11,13.868,200,151.47917,disk_evicted,1,1788636776515969074
med,6000,855,37,22,7922.5546875,10,13.424,200,152.284314,hot,2,1788636777028885083
med,6000,780,37,28,7922.5546875,10,17.464,200,152.836676,ram_evicted,2,1788636777693879607
med,7000,1095,37,8,7922.5546875,3,14.125,200,152.089357,disk_evicted,2,1788636778908638832
med,7000,1095,38,18,7922.5546875,8,12.29,200,153.743573,hot,3,1788636779428261977
med,7000,1095,38,19,7922.5546875,9,15.204,200,152.493877,ram_evicted,3,1788636780061513859
med,6000,855,38,35,7922.5546875,15,11.739,200,151.656849,disk_evicted,3,1788636781250805484
med,6000,1020,38,0,7922.5546875,2,14.993,200,153.635425,hot,4,1788636781769319068
med,6000,1020,38,21,7922.5546875,10,11.925,200,152.594168,ram_evicted,4,1788636782436542884
med,6000,795,38,28,7922.5546875,10,14.593,200,151.492095,disk_evicted,4,1788636783676928025
med,6000,915,38,9,7919.6171875,5,11.659,200,152.133675,hot,5,1788636784192924312
med,6000,915,38,23,7919.6171875,10,11.757,200,151.920769,ram_evicted,5,1788636784863786296
med,6000,990,39,41,7919.6171875,18,11.691,200,152.587186,disk_evicted,5,1788636786066441927
med,6000,1005,38,1,7915.6171875,2,11.617,200,152.729425,hot,6,1788636786591107546
med,6000,1005,38,22,7915.6171875,10,13.992,200,152.307761,ram_evicted,6,1788636787227288333
med,6000,945,38,46,7933.5,15,11.204,200,151.828125,disk_evicted,6,1788636788447877401
med,7000,1290,39,7,7933.5,1,12.775,200,152.261513,hot,7,1788636788961867234
med,7000,1290,39,17,7933.5,9,15.909,200,152.259936,ram_evicted,7,1788636789625672621
med,6000,885,39,23,7932.0546875,10,17.427,200,152.218529,disk_evicted,7,1788636790777340140
med,6000,795,39,0,7929.9296875,2,12.154,200,153.607689,hot,8,1788636791295326441
med,6000,720,39,26,7929.9296875,10,14.297,200,152.176194,ram_evicted,8,1788636791966320808
med,6000,1020,39,22,7922.6796875,10,16.982,200,151.786239,disk_evicted,8,1788636793371028396
med,6000,900,39,2,7922.6796875,2,11.7,200,151.846027,hot,9,1788636793903597728
