trial,state,probe_idx,latency_ms
0,hot,0,40.316745
0,hot,1,41.219856
0,hot,2,171.129401
0,hot,3,42.601183
0,hot,4,41.146757
0,hot,5,39.706371
0,hot,6,38.506164
0,hot,7,46.530286
0,hot,8,46.866381
0,hot,9,39.914086
0,ram_evicted,0,37.713499
0,ram_evicted,1,1436.268545
0,ram_evicted,2,678.791898
0,ram_evicted,3,663.17548
0,ram_evicted,4,923.726918
0,ram_evicted,5,701.711943
0,ram_evicted,6,799.156905
0,ram_evicted,7,686.384421
0,ram_evicted,8,853.83155
0,ram_evicted,9,1573.56026
0,disk_evicted,0,288.416446
0,disk_evicted,1,1304.908676
0,disk_evicted,2,950.487059
0,disk_evicted,3,39.533687
0,disk_evicted,4,1365.548005
0,disk_evicted,5,405.482614
0,disk_evicted,6,891.345608
0,disk_evicted,7,37.644063
0,disk_evicted,8,1047.916242
0,disk_evicted,9,1717.889009
1,hot,0,39.343276
1,hot,1,39.615051
1,hot,2,40.599529
1,hot,3,151.357598
1,hot,4,46.14281
1,hot,5,42.063412
1,hot,6,46.201888
1,hot,7,39.200748
1,hot,8,40.313685
1,hot,9,40.510395
1,ram_evicted,0,1604.707489
1,ram_evicted,1,1140.928424
1,ram_evicted,2,40.043877
1,ram_evicted,3,666.785815
1,ram_evicted,4,907.639508
1,ram_evicted,5,41.201774
1,ram_evicted,6,528.301586
1,ram_evicted,7,910.937783
1,ram_evicted,8,820.386073
1,ram_evicted,9,1332.110868
1,disk_evicted,0,109.102697
1,disk_evicted,1,157.115705
1,disk_evicted,2,40.085682
1,disk_evicted,3,549.481333
1,disk_evicted,4,2289.754202
1,disk_evicted,5,930.859378
1,disk_evicted,6,38.682806
1,disk_evicted,7,593.894781
1,disk_evicted,8,1207.357122
1,disk_evicted,9,846.350232
2,hot,0,37.974708
2,hot,1,39.533649
2,hot,2,38.794428
2,hot,3,39.262544
2,hot,4,40.504969
2,hot,5,35.57931
2,hot,6,40.105116
2,hot,7,38.549394
2,hot,8,36.912749
2,hot,9,223.324763
2,ram_evicted,0,267.292652
2,ram_evicted,1,630.09026
2,ram_evicted,2,541.827672
2,ram_evicted,3,606.682812
2,ram_evicted,4,978.035184
2,ram_evicted,5,1260.496685
2,ram_evicted,6,1472.051894
2,ram_evicted,7,861.417485
2,ram_evicted,8,1525.234497
2,ram_evicted,9,40.925325
2,disk_evicted,0,1156.46979
2,disk_evicted,1,395.251128
2,disk_evicted,2,486.126137
2,disk_evicted,3,96.497908
2,disk_evicted,4,626.225291
2,disk_evicted,5,362.778907
