adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,8000,2550,67,77,8030.83203125,76,61.146,200,2053.47466,hot,0,1788369660541489390
med,8000,2535,69,71,8020.01171875,72,32.535,200,664.89286,ram_evicted,0,1788369665778582555
med,8000,2535,70,71,8006.63671875,69,57.115,200,973.995883,disk_evicted,0,1788369670231359318
med,8000,2535,71,73,8006.63671875,72,53.057,200,39.728304,hot,1,1788369671453196493
med,8000,2535,69,49,8006.63671875,48,68.435,200,1180.693871,ram_evicted,1,1788369672891806221
med,8000,2535,71,98,8006.63671875,99,77.656,200,435.870646,disk_evicted,1,1788369679300279163
med,8000,2535,71,93,8006.63671875,92,65.649,200,42.908644,hot,2,1788369679998939645
med,8000,2535,72,98,8006.63671875,99,62.372,200,137.542589,ram_evicted,2,1788369682245425675
med,8000,2535,73,77,8006.63671875,75,70.567,200,1130.882894,disk_evicted,2,1788369686500670212
med,8000,2535,73,77,8006.63671875,77,73.533,200,44.83198,hot,3,1788369688907220854
med,8000,2535,69,30,8006.63671875,29,44.831,200,393.486034,ram_evicted,3,1788369690547455150
med,8000,2535,75,84,8006.63671875,84,68.336,200,40.937066,disk_evicted,3,1788369698172642939
med,8000,2535,75,73,8006.63671875,72,75.499,200,38.868916,hot,4,1788369698459670811
med,8000,2535,75,41,8006.63671875,42,68.809,200,524.998008,ram_evicted,4,1788369699897930390
med,8000,2535,76,63,8006.63671875,62,63.001,200,31.778535,disk_evicted,4,1788369705524181216
med,8000,2535,76,93,8006.63671875,91,80.025,200,36.383016,hot,5,1788369705954247965
med,8000,2535,73,60,8006.63671875,59,42.938,200,1168.340755,ram_evicted,5,1788369708929832736
med,8000,2535,76,84,8006.63671875,84,67.455,200,246.317832,disk_evicted,5,1788369715560778239
med,8000,2535,76,76,8006.63671875,74,78.829,200,44.857951,hot,6,1788369716062649857
med,8000,2535,77,22,8006.63671875,21,62.809,200,554.160415,ram_evicted,6,1788369716887623656
med,8000,2535,73,8,8006.63671875,8,35.903,200,40.990248,disk_evicted,6,1788369722217779168
med,8000,2535,73,97,8006.63671875,97,78.763,200,255.590491,hot,7,1788369722517890698
med,8000,2535,74,33,8006.63671875,32,49.144,200,1270.828682,ram_evicted,7,1788369724941749086
med,8000,2535,75,43,8006.63671875,42,33.583,200,1102.807168,disk_evicted,7,1788369729634203772
med,8000,2535,72,20,8033.89453125,14,78.671,200,1033.193596,hot,8,1788369732083358114
med,8000,2535,74,61,8032.51171875,60,45.362,200,1348.424705,ram_evicted,8,1788369736407900365
med,8000,2535,78,99,8025.07421875,99,60.79,200,35.450161,disk_evicted,8,1788369742645529497
med,8000,2535,78,97,8025.07421875,97,79.352,200,45.713194,hot,9,1788369742929488237
med,8000,2535,78,53,8027.45703125,49,60.985,200,1185.598189,ram_evicted,9,1788369744313168642
med,8000,2535,78,48,8020.45703125,48,48.985,200,2221.797739,disk_evicted,9,1788369749610051406
med,8000,2535,76,76,8001.44921875,76,75.351,200,54.715457,hot,10,1788369752076834703
med,8000,2535,75,82,7988.63671875,83,66.791,200,526.948111,ram_evicted,10,1788369754148848788
med,8000,2535,78,56,7990.94921875,53,34.823,200,1218.01917,disk_evicted,10,1788369758816548880
