adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,8000,2370,51,40,8080.30078125,25,8.3,200,26.850169,hot,0,1788834460230688735
med,8000,2370,51,30,8080.30078125,26,22.736,200,25.261143,ram_evicted,0,1788834460677518184
med,8000,2550,56,39,8077.30078125,34,44.932,200,30.162633,disk_evicted,0,1788834463235149423
med,8000,2550,56,36,8077.30078125,32,43.561,200,20.044352,hot,1,1788834463494317440
med,8000,2550,56,38,8073.30078125,33,43.245,200,26.306867,ram_evicted,1,1788834463851739796
med,8000,2550,57,40,8073.30078125,33,45.738,200,33.19059,disk_evicted,1,1788834466390895772
med,8000,2550,57,22,8073.30078125,20,43.164,200,20.528434,hot,2,1788834466649217539
med,8000,2550,57,34,8073.30078125,29,42.867,200,33.755239,ram_evicted,2,1788834467029113663
med,8000,2550,57,45,8073.30078125,38,45.768,200,30.743851,disk_evicted,2,1788834469594187326
med,8000,2550,57,23,8073.30078125,22,43.144,200,20.886494,hot,3,1788834469850220567
med,8000,2550,57,37,8073.30078125,28,42.793,200,31.357979,ram_evicted,3,1788834470243579404
med,8000,2550,57,38,8073.30078125,33,45.365,200,32.854936,disk_evicted,3,1788834472826366421
med,8000,2550,56,29,8073.30078125,27,43.804,200,20.564413,hot,4,1788834473085660459
med,8000,2550,56,39,8073.30078125,33,43.229,200,31.738212,ram_evicted,4,1788834473426939798
med,8000,2550,58,42,8073.30078125,36,45.087,200,31.253631,disk_evicted,4,1788834476038307572
med,8000,2550,58,33,8073.30078125,30,43.445,200,21.199592,hot,5,1788834476295557392
med,8000,2550,58,36,8073.30078125,32,42.779,200,26.857943,ram_evicted,5,1788834476660121209
med,8000,2550,58,42,8073.30078125,36,45.424,200,33.375897,disk_evicted,5,1788834479233515939
med,8000,2550,58,33,8073.30078125,30,43.858,200,20.194083,hot,6,1788834479491468842
med,8000,2550,57,39,8073.30078125,33,43.162,200,29.53008,ram_evicted,6,1788834479861068845
med,8000,2550,58,38,8073.30078125,33,45.65,200,31.025463,disk_evicted,6,1788834482432676314
med,8000,2550,59,39,8073.30078125,33,44.075,200,21.165042,hot,7,1788834482695222617
med,8000,2355,59,37,8073.30078125,32,42.933,200,27.604951,ram_evicted,7,1788834483074191454
med,8000,2550,59,39,8073.30078125,33,45.361,200,34.72499,disk_evicted,7,1788834485592603088
med,8000,2550,59,28,8073.30078125,26,43.1,200,20.3852,hot,8,1788834485853987835
med,8000,2550,59,32,8073.30078125,27,42.856,200,29.708878,ram_evicted,8,1788834486229081442
med,8000,2550,59,42,8073.30078125,36,46.059,200,32.319235,disk_evicted,8,1788834488788270351
med,8000,2550,59,25,8073.30078125,24,43.47,200,20.085141,hot,9,1788834489047027082
med,8000,2550,57,39,8073.30078125,33,43.944,200,27.816767,ram_evicted,9,1788834489390731383
med,8000,2550,58,44,8073.30078125,38,46.621,200,35.304055,disk_evicted,9,1788834491991540788
med,8000,2550,58,23,8073.30078125,22,43.643,200,20.157723,hot,10,1788834492254683763
med,8000,2550,58,39,8073.30078125,34,43.501,200,25.961174,ram_evicted,10,1788834492625260083
med,8000,2550,60,44,8073.30078125,29,45.825,200,34.044959,disk_evicted,10,1788834495231763445
med,8000,2550,58,33,8073.30078125,27,43.709,200,19.98196,hot,11,1788834495498835023
med,8000,2550,58,39,8073.30078125,32,42.859,200,30.619872,ram_evicted,11,1788834495858665752
med,8000,2550,59,37,8073.30078125,32,45.581,200,35.315899,disk_evicted,11,1788834498462761148
