adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,810,705,45,5,7939.09375,12,11.857,200,302.122474,hot,0,1789206028224715756
med,6000,2370,45,15,7954.21875,11,18.854,200,151.714677,ram_evicted,0,1789206029013724056
med,8000,2370,48,19,7951.65625,14,29.285,200,151.949788,disk_evicted,0,1789206030124152122
med,8000,1140,46,0,7951.15625,1,25.533,200,151.730373,hot,1,1789206030637399561
med,8000,1035,45,23,7950.90625,8,20.229,200,151.821523,ram_evicted,1,1789206031261589704
med,8000,1200,45,34,7958.25,9,19.859,200,153.065852,disk_evicted,1,1789206032352470031
med,8000,1470,45,10,7958.6875,1,19.791,200,151.996183,hot,2,1789206032864493707
med,8000,1470,45,27,7959.125,14,20.297,200,151.654483,ram_evicted,2,1789206033504773005
med,6000,945,46,22,7956.5625,10,18.386,200,151.615049,disk_evicted,2,1789206034637630832
med,6000,840,45,12,7956.5625,7,15.884,200,152.037943,hot,3,1789206035150889659
med,6000,750,45,26,7956.5625,10,15.417,200,151.528954,ram_evicted,3,1789206035789875735
med,6000,855,45,34,7956.5625,14,15.906,200,151.565398,disk_evicted,3,1789206036880949074
med,6000,855,45,23,7956.5625,10,15.374,200,151.877647,hot,4,1789206037392287754
med,8000,1410,45,30,7959.84375,11,17.319,200,151.592883,ram_evicted,4,1789206038013809188
med,8000,1650,46,28,7932.2265625,14,22.502,200,151.545047,disk_evicted,4,1789206039107492694
med,8000,1650,46,8,7953.9765625,2,21.466,200,151.613239,hot,5,1789206039633006792
med,8000,1305,46,21,7940.5390625,8,21.726,200,151.547814,ram_evicted,5,1789206040254103758
med,8000,1290,46,21,8005.51953125,9,20.351,200,151.916334,disk_evicted,5,1789206041347134080
med,8000,1290,45,9,7998.83203125,2,19.623,200,152.094269,hot,6,1789206041861960682
med,8000,1320,46,43,8001.01953125,15,19.622,200,152.359469,ram_evicted,6,1789206042502419613
med,8000,1320,46,30,8008.70703125,9,20.305,200,151.940702,disk_evicted,6,1789206043632891151
med,8000,1320,46,30,8043.9296875,8,20.159,200,151.674623,hot,7,1789206044143593573
med,8000,1230,47,30,7990.39453125,9,20.473,200,151.7609,ram_evicted,7,1789206044766351119
med,7000,1425,46,28,7998.0390625,10,19.797,200,151.621413,disk_evicted,7,1789206045856643111
med,8000,1425,46,16,8025.2890625,8,18.661,200,151.838925,hot,8,1789206046368787278
med,8000,1425,46,27,8006.9765625,9,20.019,200,151.418883,ram_evicted,8,1789206046990363813
med,8000,1575,46,29,7993.6640625,11,20.843,200,151.59251,disk_evicted,8,1789206048076499716
med,8000,1575,46,26,8020.96875,9,21.016,200,152.29952,hot,9,1789206048588419823
med,8000,1575,46,16,7974.03125,8,21.281,200,151.696917,ram_evicted,9,1789206049211982253
med,8000,1095,46,40,7974.03125,14,20.434,200,151.823377,disk_evicted,9,1789206050313675570
med,8000,1095,46,2,7959.0,1,18.661,200,151.562073,hot,10,1789206050825067585
med,8000,1095,47,23,7956.4375,8,18.879,200,151.688865,ram_evicted,10,1789206051447183585
med,8000,1095,46,27,7993.25,8,19.69,200,151.652151,disk_evicted,10,1789206052543365567
med,8000,1350,46,12,8030.26171875,2,19.685,200,152.117113,hot,11,1789206053057051341
med,8000,1350,46,36,8038.26953125,14,20.13,200,151.719316,ram_evicted,11,1789206053697149570
med,8000,1335,47,19,7984.13671875,8,20.369,200,151.624731,disk_evicted,11,1789206054784685162
med,8000,1335,47,9,8012.26171875,1,19.737,200,152.00038,hot,12,1789206055297288080
med,8000,1335,46,36,7998.82421875,12,19.681,200,151.432851,ram_evicted,12,1789206055919868119
med,6000,1050,46,24,7989.57421875,8,19.522,200,153.393017,disk_evicted,12,1789206057041834494
