adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
junk_0_r8,8000,2370,53,6,7582.69921875,7,28.774,200,20.825401,hot,0,1788368150618040980
junk_0_r8,8000,2370,55,5,7583.44921875,5,27.449,200,25.855815,ram_evicted,0,1788368151052287654
junk_0_r8,8000,1575,55,2,7583.69921875,1,18.813,200,85.209249,disk_evicted,0,1788368151646155216
junk_0_r8,8000,1515,55,21,7586.51171875,20,17.006,200,22.71019,hot,1,1788368151964786234
junk_0_r8,7000,1320,53,8,7586.51171875,8,16.95,200,38.037531,ram_evicted,1,1788368152307887900
junk_0_r8,7000,1260,53,21,7586.51171875,20,17.649,200,76.051076,disk_evicted,1,1788368152798202304
junk_0_r8,7000,1110,53,17,7585.88671875,16,13.904,200,23.82025,hot,2,1788368153124566432
junk_0_r8,6000,1050,53,11,7583.76171875,9,16.908,200,40.792623,ram_evicted,2,1788368153458973622
junk_0_r8,7000,1185,53,18,7582.63671875,16,13.677,200,73.175841,disk_evicted,2,1788368153948515299
junk_0_r8,7000,1185,53,8,7582.63671875,9,15.314,200,27.377535,hot,3,1788368154276996691
junk_0_r8,7000,1185,53,17,7577.63671875,16,16.134,200,29.657826,ram_evicted,3,1788368154652326650
junk_0_r8,7000,1185,53,18,7575.26171875,16,16.136,200,73.400913,disk_evicted,3,1788368155128307173
junk_0_r8,6000,1185,53,1,7575.26171875,2,13.985,200,26.506495,hot,4,1788368155445087875
junk_0_r8,6000,855,53,29,7575.26171875,26,14.709,200,41.450465,ram_evicted,4,1788368155807745113
junk_0_r8,6000,900,53,20,7575.01171875,18,13.162,200,113.660874,disk_evicted,4,1788368156347952274
junk_0_r8,6000,900,53,20,7574.94921875,18,15.257,200,31.296084,hot,5,1788368156700955185
junk_0_r8,6000,900,53,17,7574.94921875,14,15.414,200,44.928064,ram_evicted,5,1788368157063809478
junk_0_r8,7000,1050,53,12,7566.19921875,9,14.899,200,78.877039,disk_evicted,5,1788368157647298842
junk_0_r8,7000,1050,53,25,7566.19921875,23,13.65,200,28.535876,hot,6,1788368157961187016
junk_0_r8,8000,1050,53,9,7560.88671875,8,18.13,200,33.860789,ram_evicted,6,1788368158328962139
junk_0_r8,8000,1050,53,17,7560.88671875,14,19.818,200,78.562898,disk_evicted,6,1788368158817760586
junk_0_r8,6000,795,54,16,7560.88671875,14,13.176,200,29.477431,hot,7,1788368159130423054
junk_0_r8,6000,705,54,11,7560.88671875,10,13.21,200,39.251861,ram_evicted,7,1788368159467656360
junk_0_r8,6000,1005,53,12,7560.88671875,11,14.613,200,77.406995,disk_evicted,7,1788368160048666050
junk_0_r8,6000,1005,53,27,7560.88671875,25,12.123,200,29.662681,hot,8,1788368160365678023
junk_0_r8,6000,1005,54,11,7560.88671875,10,14.713,200,32.697759,ram_evicted,8,1788368160712095437
junk_0_r8,6000,1005,53,11,7560.88671875,10,14.501,200,88.719842,disk_evicted,8,1788368161261528613
junk_0_r8,6000,885,53,31,7560.88671875,27,12.821,200,28.98153,hot,9,1788368161594609875
junk_0_r8,6000,795,53,21,7560.88671875,19,13.48,200,41.135758,ram_evicted,9,1788368161938260910
junk_0_r8,6000,720,53,12,7560.88671875,10,12.898,200,79.128114,disk_evicted,9,1788368162476394466
junk_0_r8,6000,705,53,33,7560.88671875,27,12.411,200,32.374537,hot,10,1788368162798660432
junk_0_r8,6000,645,53,27,7560.88671875,22,14.547,200,38.888637,ram_evicted,10,1788368163202954930
junk_0_r8,6000,720,53,23,7560.88671875,19,12.89,200,74.751736,disk_evicted,10,1788368163763019397
junk_0_r8,6000,720,53,18,7560.88671875,17,12.94,200,28.570652,hot,11,1788368164105464445
junk_0_r8,6000,720,53,12,7560.88671875,10,14.503,200,36.682987,ram_evicted,11,1788368164457641076
junk_0_r8,7000,1035,53,19,7560.88671875,16,14.142,200,79.389409,disk_evicted,11,1788368164935936030
junk_0_r8,8000,1035,53,8,7560.88671875,8,14.187,200,22.30882,hot,12,1788368165252779726
junk_0_r8,8000,1035,53,19,7560.88671875,16,16.965,200,36.273686,ram_evicted,12,1788368165583190507
junk_0_r8,8000,1035,54,9,7560.88671875,8,15.814,200,76.224636,disk_evicted,12,1788368166112528947
junk_0_r8,8000,1035,54,25,7560.88671875,20,19.211,200,29.775399,hot,13,1788368166416808830
junk_0_r8,6000,735,54,30,7560.88671875,26,14.739,200,43.377987,ram_evicted,13,1788368166748260132
junk_0_r8,6000,675,54,12,7560.88671875,10,13.118,200,94.581207,disk_evicted,13,1788368167280131772
junk_0_r8,6000,615,54,0,7560.88671875,2,12.102,200,29.608633,hot,14,1788368167634902741
junk_0_r8,6000,555,54,7,7560.88671875,6,12.957,200,47.118616,ram_evicted,14,1788368168051471370
junk_0_r8,6000,735,54,15,7557.07421875,11,13.094,200,83.323132,disk_evicted,14,1788368168690405237
junk_0_r8,6000,735,54,29,7557.07421875,26,15.991,200,29.825216,hot,15,1788368169013710165
junk_0_r8,6000,735,54,31,7557.07421875,27,14.575,200,41.863323,ram_evicted,15,1788368169379299174
junk_0_r8,6000,735,54,23,7557.07421875,19,13.112,200,87.2207,disk_evicted,15,1788368169968687647
junk_0_r8,6000,600,54,22,7557.07421875,18,12.845,200,29.568123,hot,16,1788368170302420735
junk_0_r8,6000,555,54,19,7557.07421875,13,15.969,200,40.308611,ram_evicted,16,1788368170638574037
junk_0_r8,6000,825,54,17,7557.07421875,14,13.011,200,80.951092,disk_evicted,16,1788368171215224846
junk_0_r8,6000,825,54,21,7557.07421875,18,15.27,200,31.206874,hot,17,1788368171535013808
junk_0_r8,6000,825,54,11,7557.07421875,10,24.417,200,41.223355,ram_evicted,17,1788368171916872971
junk_0_r8,6000,885,54,11,7557.07421875,10,14.542,200,83.815291,disk_evicted,17,1788368172504958383
junk_0_r8,6000,885,54,0,7557.07421875,2,12.974,200,26.69262,hot,18,1788368172833397136
junk_0_r8,6000,885,54,30,7557.07421875,27,14.611,200,37.820304,ram_evicted,18,1788368173173426126
junk_0_r8,6000,900,54,14,7557.07421875,13,14.49,200,108.531672,disk_evicted,18,1788368173752105280
junk_0_r8,6000,900,54,20,7557.07421875,18,12.879,200,25.999722,hot,19,1788368174108427133
junk_0_r8,6000,900,54,11,7557.07421875,10,16.061,200,44.334634,ram_evicted,19,1788368174471205275
junk_0_r8,7000,1200,54,10,7557.07421875,11,18.165,200,77.24116,disk_evicted,19,1788368175010236646
junk_0_r8,7000,1200,54,17,7557.07421875,16,14.176,200,25.356472,hot,20,1788368175323352674
junk_0_r8,7000,1200,54,10,7557.07421875,9,15.78,200,33.024641,ram_evicted,20,1788368175647591366
junk_0_r8,8000,1260,54,16,7557.07421875,14,16.624,200,80.917745,disk_evicted,20,1788368176185457285
junk_0_r8,8000,1260,54,15,7557.07421875,14,16.36,200,23.21005,hot,21,1788368176500611968
junk_0_r8,7000,1260,54,10,7557.07421875,8,14.565,200,28.94286,ram_evicted,21,1788368176837403787
junk_0_r8,7000,1290,55,17,7557.07421875,16,14.983,200,77.490724,disk_evicted,21,1788368177340522677
junk_0_r8,7000,1290,54,8,7557.07421875,9,17.666,200,25.266307,hot,22,1788368177673015550
junk_0_r8,7000,1290,54,15,7557.07421875,16,14.486,200,37.597845,ram_evicted,22,1788368178010767381
junk_0_r8,7000,1290,55,16,7557.07421875,15,26.168,200,76.540253,disk_evicted,22,1788368178520943790
junk_0_r8,6000,975,55,3,7557.07421875,4,15.201,200,25.051871,hot,23,1788368178835149868
junk_0_r8,6000,960,55,29,7557.07421875,27,13.353,200,31.692955,ram_evicted,23,1788368179156577757
junk_0_r8,6000,870,55,11,7557.07421875,10,14.857,200,81.988401,disk_evicted,23,1788368179661554073
junk_0_r8,6000,855,55,31,7557.07421875,27,16.084,200,31.485695,hot,24,1788368179980061088
junk_0_r8,6000,765,55,21,7557.07421875,18,16.015,200,37.356555,ram_evicted,24,1788368180306268028
junk_0_r8,6000,870,55,24,7557.07421875,19,16.054,200,74.99697,disk_evicted,24,1788368180796991457
junk_0_r8,6000,870,54,21,7557.07421875,18,12.986,200,29.491555,hot,25,1788368181111874946
junk_0_r8,6000,870,54,12,7557.07421875,10,14.533,200,32.575506,ram_evicted,25,1788368181444842785
junk_0_r8,7000,1155,54,19,7557.07421875,16,17.732,200,70.018607,disk_evicted,25,1788368181905892725
junk_0_r8,7000,1155,55,26,7557.07421875,23,16.93,200,25.123035,hot,26,1788368182204190601
junk_0_r8,8000,1155,55,22,7557.07421875,20,16.041,200,26.553207,ram_evicted,26,1788368182587314054
junk_0_r8,8000,1155,54,10,7557.07421875,8,15.899,200,69.84679,disk_evicted,26,1788368183034118340
junk_0_r8,8000,1155,55,22,7557.07421875,20,18.471,200,24.066328,hot,27,1788368183340489122
junk_0_r8,6000,780,55,11,7557.07421875,10,15.166,200,32.174508,ram_evicted,27,1788368183652058520
