trial,ground_truth,probe_idx,target_latency_ms,canary_latency_ms,diff_ms
0,active,0,2332.795777,2191.227391,141.56838599999992
0,active,1,1779.671285,1680.337855,99.33342999999991
0,active,2,2410.566136,2311.696921,98.86921499999971
1,idle,0,1263.489264,1202.200526,61.28873799999997
1,idle,1,1975.523481,1976.473939,-0.950458000000026
1,idle,2,1803.989854,1639.395585,164.59426899999994
2,active,0,986.168403,925.818405,60.34999800000003
2,active,1,2004.830986,1916.196767,88.63421900000003
2,active,2,1383.895216,1307.149415,76.7458009999998
3,idle,0,1947.547911,1788.097726,159.45018500000015
3,idle,1,1251.988465,1143.32165,108.66681499999981
3,idle,2,1697.754975,1610.276696,87.47827900000016
4,active,0,607.661122,538.253575,69.40754700000002
4,active,1,1568.413429,1464.957002,103.45642699999985
4,active,2,1163.350818,1087.604261,75.74655699999994
5,idle,0,472.396269,399.017014,73.379255
5,idle,1,1897.2818,1820.156157,77.12564300000008
5,idle,2,1856.842096,1749.753906,107.08819000000017
6,active,0,1596.993602,1522.232666,74.7609359999999
6,active,1,1557.151693,1484.994414,72.15727900000002
6,active,2,1275.540036,1206.778952,68.76108400000021
7,idle,0,637.994739,576.914389,61.08034999999995
7,idle,1,1805.587955,1962.075227,-156.48727200000008
7,idle,2,1731.386354,1662.234438,69.15191600000003
8,active,0,1742.300816,1654.925836,87.37498000000005
8,active,1,2265.160216,2208.513128,56.64708800000017
8,active,2,2527.590267,2433.218422,94.37184500000012
9,idle,0,1970.186836,1903.679843,66.5069930000002
9,idle,1,2076.147564,1985.656565,90.49099899999987
9,idle,2,2865.668706,2731.169786,134.49892
10,active,0,1057.386516,981.708545,75.67797100000007
10,active,1,1119.527238,1008.700209,110.82702899999992
10,active,2,900.167593,789.870337,110.29725600000006
11,idle,0,1911.640263,1818.264469,93.37579400000004
11,idle,1,1334.468548,1255.017021,79.45152699999994
11,idle,2,991.47107,977.357009,14.114061000000106
12,active,0,157.472657,156.170587,1.3020699999999863
12,active,1,53.297427,42.018339,11.279088000000002
12,active,2,42.023993,30.519673,11.504319999999996
13,idle,0,244.670524,238.568306,6.1022179999999935
13,idle,1,42.080895,31.211509,10.869385999999999
13,idle,2,39.867559,29.63678,10.230778999999998
14,active,0,251.676343,243.411899,8.264443999999997
14,active,1,40.281322,28.41028,11.871042000000003
14,active,2,39.264781,28.843325,10.421456
15,idle,0,229.095766,218.054623,11.041143000000005
15,idle,1,43.71847,32.565528,11.152942000000003
15,idle,2,41.412767,31.1995,10.213267000000002
16,active,0,159.946347,161.381757,-1.4354099999999903
16,active,1,23.457764,24.472695,-1.0149310000000007
16,active,2,25.978006,25.09091,0.8870959999999997
17,idle,0,241.637687,219.26772,22.369967000000003
17,idle,1,38.865166,63.453079,-24.587913
17,idle,2,36.096382,36.308163,-0.211781000000002
18,active,0,232.485349,217.87495,14.610399000000001
18,active,1,47.440056,32.212516,15.227539999999998
18,active,2,31.679644,47.630901,-15.951257000000002
19,idle,0,272.283354,261.112936,11.170417999999984
19,idle,1,42.777728,30.002955,12.774773000000003
19,idle,2,41.592575,29.525965,12.066609999999997
