trial,ground_truth,probe_idx,target_latency_ms,canary_latency_ms,diff_ms
0,active,0,765.915932,1915.212826,-1149.296894
0,active,1,2148.299183,2534.143313,-385.84412999999995
0,active,2,514.294489,2145.530877,-1631.2363880000003
1,idle,0,1666.262954,1037.794,628.4689539999999
1,idle,1,957.036853,854.802948,102.23390499999994
1,idle,2,1335.671963,1205.829463,129.84249999999997
2,active,0,1594.046555,928.13671,665.9098449999999
2,active,1,1742.881023,1314.358927,428.5220959999999
2,active,2,1696.964787,1584.859353,112.10543399999983
3,idle,0,1277.656507,2032.121081,-754.4645740000001
3,idle,1,1420.49462,2409.529011,-989.0343910000001
3,idle,2,1150.524834,1172.290275,-21.76544100000001
4,active,0,1875.108221,2930.564864,-1055.456643
4,active,1,1189.159627,1514.87048,-325.71085300000004
4,active,2,1874.014075,1214.361768,659.6523070000001
5,idle,0,1033.551821,1707.451044,-673.8992229999999
5,idle,1,876.021145,1576.662496,-700.6413509999999
5,idle,2,1534.484964,1927.852688,-393.36772399999995
6,active,0,623.594138,1719.732565,-1096.1384269999999
6,active,1,436.093094,1913.977216,-1477.884122
6,active,2,2078.347078,950.129437,1128.2176409999997
7,idle,0,1294.303473,900.13254,394.170933
7,idle,1,1593.535347,1107.730722,485.804625
7,idle,2,868.973781,796.792093,72.18168800000001
8,active,0,639.932618,968.026808,-328.0941899999999
8,active,1,106.667326,439.994509,-333.327183
8,active,2,1821.570845,931.749539,889.8213059999999
9,idle,0,908.607362,1276.541443,-367.9340810000001
9,idle,1,1450.287392,2250.239563,-799.9521710000001
9,idle,2,1360.844195,2030.991391,-670.1471960000001
10,active,0,1818.359354,3227.621493,-1409.2621390000002
10,active,1,754.023248,1726.841452,-972.8182039999999
10,active,2,1024.064056,2150.182785,-1126.118729
11,idle,0,799.398106,1822.041634,-1022.643528
11,idle,1,801.493299,1815.504541,-1014.011242
11,idle,2,1580.096703,2016.121701,-436.0249980000001
12,active,0,1085.045156,1843.048116,-758.00296
12,active,1,1934.285468,1228.694123,705.591345
12,active,2,1903.169441,1285.711847,617.457594
13,idle,0,1209.190578,1889.075214,-679.884636
13,idle,1,1071.476334,1834.352203,-762.875869
13,idle,2,1083.395451,1084.214418,-0.8189669999999296
14,active,0,847.644696,1487.612453,-639.967757
14,active,1,1201.632086,2507.841096,-1306.20901
14,active,2,1898.949789,1493.609088,405.3407010000001
15,idle,0,1108.432761,860.137632,248.29512899999997
15,idle,1,2076.618324,1025.858508,1050.759816
15,idle,2,1807.20349,1535.546687,271.6568030000001
16,active,0,1187.533005,854.106574,333.426431
16,active,1,635.812732,1043.256484,-407.443752
16,active,2,1498.764953,1088.908096,409.8568570000002
17,idle,0,1432.555798,1784.626384,-352.0705859999998
17,idle,1,1002.590368,1497.508134,-494.9177659999999
17,idle,2,1180.640438,1769.923059,-589.2826210000001
18,active,0,1585.08079,795.257545,789.8232449999999
18,active,1,1412.969741,1109.923664,303.0460770000002
18,active,2,1757.292979,1314.701492,442.59148700000014
19,idle,0,1219.221408,1985.566364,-766.3449559999999
19,idle,1,1860.432358,1773.598338,86.83402000000001
19,idle,2,2109.14676,2157.960241,-48.81348100000014
