trial,ground_truth,probe_idx,latency_ms
0,active,0,1139.341577
0,active,1,1647.156232
0,active,2,2314.423563
0,active,3,1876.857889
0,active,4,1031.718505
1,idle,0,1657.769482
1,idle,1,1367.747262
1,idle,2,1392.885752
1,idle,3,1333.704962
1,idle,4,1166.450099
2,active,0,1032.58981
2,active,1,1648.422409
2,active,2,1396.861852
2,active,3,1170.138997
2,active,4,1021.049621
3,idle,0,1178.58149
3,idle,1,1269.19493
3,idle,2,1777.745868
3,idle,3,1769.778317
3,idle,4,1612.108273
4,active,0,1521.048174
4,active,1,765.498887
4,active,2,1901.013191
4,active,3,2048.013478
4,active,4,1325.962238
5,idle,0,1513.736034
5,idle,1,2184.602498
5,idle,2,2073.514002
5,idle,3,856.992182
5,idle,4,2266.937918
6,active,0,1321.117514
6,active,1,1141.123561
6,active,2,1298.847751
6,active,3,763.934885
6,active,4,1364.97413
7,idle,0,542.206041
7,idle,1,914.86529
7,idle,2,1502.340686
7,idle,3,1618.47059
7,idle,4,1112.945381
8,active,0,1443.59211
8,active,1,1519.890297
8,active,2,2113.684985
8,active,3,1307.296554
8,active,4,715.397724
9,idle,0,1835.743872
9,idle,1,1573.236263
9,idle,2,813.355873
9,idle,3,1477.320648
9,idle,4,2102.316771
10,active,0,1356.29835
10,active,1,2075.054489
10,active,2,1807.649121
10,active,3,1375.872309
10,active,4,1542.067357
11,idle,0,1942.292788
11,idle,1,1045.783545
11,idle,2,1231.372961
11,idle,3,1708.810515
11,idle,4,1249.325956
12,active,0,2296.520714
12,active,1,1305.982244
12,active,2,347.45675
12,active,3,2292.121031
12,active,4,1464.710188
13,idle,0,1092.518814
13,idle,1,1450.597173
13,idle,2,1480.069289
13,idle,3,1354.642647
13,idle,4,1311.902963
14,active,0,1164.357244
14,active,1,1296.35864
14,active,2,1769.04008
14,active,3,1781.626539
14,active,4,1308.836801
15,idle,0,1281.553971
15,idle,1,1246.978102
15,idle,2,1360.702393
15,idle,3,1802.586945
15,idle,4,2104.538755
16,active,0,201.163764
16,active,1,997.193526
16,active,2,1333.94233
16,active,3,1469.49361
16,active,4,1927.231027
17,idle,0,718.135533
17,idle,1,1670.504977
17,idle,2,1278.208029
17,idle,3,1432.611335
17,idle,4,2054.31245
18,active,0,1166.804576
18,active,1,666.821782
18,active,2,1561.185208
18,active,3,773.754421
18,active,4,45.813549
19,idle,0,84.445386
19,idle,1,22.066601
19,idle,2,20.99488
19,idle,3,20.89204
19,idle,4,21.388233
