trial,ground_truth,probe_idx,latency_ms
0,active,0,1199.355379
0,active,1,1532.467418
0,active,2,52.540935
0,active,3,51.14632
0,active,4,50.994238
1,idle,0,51.751545
1,idle,1,47.441549
1,idle,2,51.01041
1,idle,3,46.080492
1,idle,4,51.588335
2,active,0,92.933202
2,active,1,55.966834
2,active,2,55.826912
2,active,3,59.971052
2,active,4,51.909785
3,idle,0,430.135667
3,idle,1,52.794996
3,idle,2,50.78807
3,idle,3,51.211103
3,idle,4,48.192182
4,active,0,45.992394
4,active,1,50.036091
4,active,2,171.383957
4,active,3,46.825911
4,active,4,58.933605
5,idle,0,1208.120354
5,idle,1,50.105938
5,idle,2,51.692665
5,idle,3,52.854499
5,idle,4,44.569869
6,active,0,2304.073807
6,active,1,48.375132
6,active,2,50.769257
6,active,3,61.190053
6,active,4,49.050845
7,idle,0,690.786501
7,idle,1,54.066337
7,idle,2,51.309566
7,idle,3,59.243568
7,idle,4,51.103168
8,active,0,56.016987
8,active,1,50.994933
8,active,2,50.242322
8,active,3,1157.85048
8,active,4,47.261196
9,idle,0,1076.309051
9,idle,1,51.58586
9,idle,2,51.199853
9,idle,3,52.242128
9,idle,4,50.462701
10,active,0,55.366917
10,active,1,49.683884
10,active,2,53.159741
10,active,3,47.66548
10,active,4,51.246683
11,idle,0,1018.909266
11,idle,1,52.785461
11,idle,2,85.237038
11,idle,3,49.587262
11,idle,4,49.244177
12,active,0,925.743725
12,active,1,50.008555
12,active,2,52.874036
12,active,3,176.687403
12,active,4,47.168408
13,idle,0,120.733703
13,idle,1,49.222052
13,idle,2,51.598183
13,idle,3,53.360191
13,idle,4,52.948017
14,active,0,1094.59844
14,active,1,46.051652
14,active,2,52.229446
14,active,3,53.577392
14,active,4,50.567146
15,idle,0,1107.948744
15,idle,1,52.356092
15,idle,2,226.668965
15,idle,3,48.779565
15,idle,4,49.308875
16,active,0,99.294926
16,active,1,48.174055
16,active,2,44.924095
16,active,3,1523.025765
16,active,4,1672.079494
17,idle,0,1747.638511
17,idle,1,53.969598
17,idle,2,49.664159
17,idle,3,53.256614
17,idle,4,51.04193
18,active,0,1029.890917
18,active,1,51.031543
18,active,2,137.611612
18,active,3,1058.224301
18,active,4,51.126974
19,idle,0,334.424499
19,idle,1,45.36286
19,idle,2,51.557338
19,idle,3,46.069551
19,idle,4,49.679875
