correct,gpu_temp_c,ground_truth,hidden_activity_latency_ms,predicted,probe_latency_ms,trial
False,87,active,1282.079855,idle,2584.99453,0
True,86,idle,,idle,996.088083,1
False,85,active,1290.831104,idle,1503.882726,2
True,86,idle,,idle,1701.012173,3
False,83,active,1898.24289,idle,1127.566405,4
True,82,idle,,idle,1193.19746,5
False,81,active,663.753029,idle,914.000441,6
True,84,idle,,idle,1618.006904,7
False,82,active,1600.965417,idle,1197.81054,8
True,77,idle,,idle,1027.937832,9
False,83,active,1785.535765,idle,933.299852,10
True,84,idle,,idle,860.385481,11
False,79,active,1480.881419,idle,1090.674704,12
True,76,idle,,idle,2881.75268,13
False,84,active,1895.300247,idle,2083.243172,14
True,84,idle,,idle,1141.802891,15
False,78,active,2087.204462,idle,2050.688308,16
True,83,idle,,idle,1080.535027,17
False,82,active,1993.155681,idle,1629.309937,18
True,82,idle,,idle,893.966197,19
False,83,active,1083.8712,idle,1200.802027,20
True,82,idle,,idle,2104.460107,21
False,83,active,1198.210737,idle,739.542617,22
True,84,idle,,idle,1854.851912,23
False,80,active,2216.191269,idle,1352.757067,24
True,83,idle,,idle,1440.459384,25
False,84,active,1368.098488,idle,1858.369902,26
True,77,idle,,idle,959.550393,27
False,83,active,1045.945501,idle,474.551027,28
True,85,idle,,idle,996.590396,29
False,82,active,1033.275507,idle,1509.634707,30
True,83,idle,,idle,1562.369225,31
False,77,active,1389.838953,idle,1680.196835,32
True,83,idle,,idle,1776.3088,33
False,80,active,924.481064,idle,1024.817256,34
True,82,idle,,idle,723.676955,35
False,84,active,2383.72446,idle,1278.142465,36
True,84,idle,,idle,1461.68141,37
False,83,active,1420.298987,idle,1683.401749,38
True,82,idle,,idle,1058.850591,39
