correct,gpu_temp_c,ground_truth,hidden_activity_latency_ms,predicted,probe_latency_ms,trial
False,67,active,1744.602428,idle,1514.559875,0
True,71,idle,,idle,122.935017,1
True,72,active,1783.339877,active,55.44425,2
True,74,idle,,idle,1056.747364,3
False,68,active,1092.285539,idle,514.782861,4
True,73,idle,,idle,1509.159888,5
False,70,active,735.188325,idle,176.962977,6
True,74,idle,,idle,2344.170944,7
False,81,active,1786.634359,idle,117.22449,8
True,82,idle,,idle,635.511174,9
True,78,active,1783.882659,active,50.618258,10
True,80,idle,,idle,450.141204,11
True,82,active,1122.100377,active,40.4337,12
True,80,idle,,idle,1810.651417,13
False,81,active,369.664709,idle,215.051127,14
True,81,idle,,idle,464.898804,15
True,82,active,48.171155,active,57.135293,16
True,81,idle,,idle,1749.59019,17
False,82,active,432.458791,idle,78.474639,18
True,81,idle,,idle,636.323547,19
False,80,active,952.438233,idle,1237.092478,20
True,73,idle,,idle,447.231864,21
True,83,active,651.923,active,50.817574,22
False,83,idle,,active,57.133301,23
False,80,active,1494.800161,idle,1642.417768,24
True,82,idle,,idle,1252.270169,25
False,84,active,1505.242856,idle,194.880951,26
True,84,idle,,idle,1624.488852,27
False,83,active,43.811877,idle,1264.074422,28
True,82,idle,,idle,199.298882,29
True,82,active,956.329574,active,56.726981,30
True,80,idle,,idle,1983.967117,31
True,82,active,684.002713,active,45.363567,32
False,74,idle,,active,50.226961,33
False,74,active,704.131873,idle,1224.096247,34
True,81,idle,,idle,1303.436195,35
False,81,active,350.903716,idle,60.824341,36
True,80,idle,,idle,1431.297143,37
False,80,active,1349.115679,idle,1511.057289,38
True,82,idle,,idle,914.989403,39
