trial,regime,n_hot,frac_hot,predicted_coarse,gt_any_activity,pred_any_activity,correct,readings
0,idle,0,0.0,idle,idle,idle,True,252.6
1,low,0,0.0,idle,active,idle,False,105.0
2,high,0,0.0,idle,active,idle,False,91.5
3,bursty,0,0.0,idle,active,idle,False,157.4
4,idle,0,0.0,idle,idle,idle,True,176.1
5,low,0,0.0,idle,active,idle,False,114.3
6,high,0,0.0,idle,active,idle,False,92.5
7,bursty,0,0.0,idle,active,idle,False,92.1
8,idle,0,0.0,idle,idle,idle,True,236.7
9,low,0,0.0,idle,active,idle,False,110.7
10,high,0,0.0,idle,active,idle,False,86.5
11,bursty,0,0.0,idle,active,idle,False,132.6
12,idle,0,0.0,idle,idle,idle,True,274.7
13,low,0,0.0,idle,active,idle,False,99.8
14,high,0,0.0,idle,active,idle,False,105.7
15,bursty,0,0.0,idle,active,idle,False,75.5
16,idle,0,0.0,idle,idle,idle,True,262.8
17,low,0,0.0,idle,active,idle,False,114.3
18,high,0,0.0,idle,active,idle,False,106.6
19,bursty,0,0.0,idle,active,idle,False,184.6
20,idle,0,0.0,idle,idle,idle,True,193.7
21,low,0,0.0,idle,active,idle,False,116.8
22,high,0,0.0,idle,active,idle,False,91.1
23,bursty,0,0.0,idle,active,idle,False,147.9
24,idle,0,0.0,idle,idle,idle,True,260.1
25,low,0,0.0,idle,active,idle,False,83.6
26,high,0,0.0,idle,active,idle,False,89.7
27,bursty,0,0.0,idle,active,idle,False,74.6
28,idle,0,0.0,idle,idle,idle,True,253.2
29,low,0,0.0,idle,active,idle,False,100.8
30,high,0,0.0,idle,active,idle,False,95.5
31,bursty,0,0.0,idle,active,idle,False,192.9
32,idle,0,0.0,idle,idle,idle,True,190.9
33,low,0,0.0,idle,active,idle,False,114.1
34,high,0,0.0,idle,active,idle,False,82.0
35,bursty,0,0.0,idle,active,idle,False,99.2
36,idle,0,0.0,idle,idle,idle,True,187.2
37,low,0,0.0,idle,active,idle,False,106.9
38,high,0,0.0,idle,active,idle,False,92.5
39,bursty,0,0.0,idle,active,idle,False,118.1
