trial,regime,n_hot,frac_hot,predicted_coarse,gt_any_activity,pred_any_activity,correct,readings
0,idle,4,0.5,high_or_bursty,idle,active,False,89.3;34.2;33.6;28.9;59.5;65.1;67.3;77.9
1,low,4,0.5,high_or_bursty,active,active,True,104.3;53.9;48.8;45.4;49.3;80.2;83.8;89.2
2,high,7,0.875,high_or_bursty,active,active,True,72.4;31.6;30.4;30.1;48.8;50.6;56.5;58.9
3,bursty,5,0.625,high_or_bursty,active,active,True,154.7;58.1;46.2;50.6;49.2;50.7;68.1;77.9
4,idle,5,0.625,high_or_bursty,idle,active,False,102.4;49.2;49.1;49.0;49.5;45.4;82.8;90.3
5,low,4,0.5,high_or_bursty,active,active,True,104.1;56.7;49.8;51.8;48.5;64.1;70.9;76.9
6,high,6,0.75,high_or_bursty,active,active,True,138.5;48.7;49.7;49.8;49.9;79.9;55.1;52.3
7,bursty,6,0.75,high_or_bursty,active,active,True,139.8;46.0;48.5;39.2;42.8;41.7;58.5;64.2
8,idle,4,0.5,high_or_bursty,idle,active,False,103.0;54.2;53.8;56.3;56.8;84.4;90.1;94.7
9,low,7,0.875,high_or_bursty,active,active,True,92.2;31.5;27.0;25.9;42.1;46.9;59.3;50.6
10,high,6,0.75,high_or_bursty,active,active,True,144.4;55.5;56.2;96.7;50.8;53.5;51.3;56.3
11,bursty,6,0.75,high_or_bursty,active,active,True,177.4;51.8;65.5;54.8;52.9;49.2;47.8;49.0
12,idle,4,0.5,high_or_bursty,idle,active,False,101.1;50.9;50.7;48.9;50.6;78.6;87.1;91.9
13,low,7,0.875,high_or_bursty,active,active,True,95.6;26.4;30.0;28.3;52.8;55.8;52.1;52.8
14,high,7,0.875,high_or_bursty,active,active,True,96.5;31.1;26.9;34.6;48.1;54.1;55.5;59.8
15,bursty,6,0.75,high_or_bursty,active,active,True,152.8;55.2;47.2;35.1;39.7;38.8;35.5;71.2
16,idle,3,0.375,low,idle,active,False,97.1;49.4;51.1;50.0;78.3;85.5;93.8;90.1
17,low,4,0.5,high_or_bursty,active,active,True,135.1;49.0;46.2;50.1;48.4;79.9;85.0;86.9
18,high,7,0.875,high_or_bursty,active,active,True,96.8;25.2;29.7;27.9;43.5;49.9;54.4;51.5
19,bursty,6,0.75,high_or_bursty,active,active,True,131.3;54.5;35.0;41.2;38.0;36.2;56.7;61.2
20,idle,4,0.5,high_or_bursty,idle,active,False,95.4;48.8;49.5;46.2;50.5;78.3;80.5;88.5
21,low,5,0.625,high_or_bursty,active,active,True,130.5;41.1;41.0;40.5;37.9;37.8;72.5;79.7
22,high,7,0.875,high_or_bursty,active,active,True,88.2;24.8;29.7;25.2;45.6;51.6;56.0;55.3
23,bursty,6,0.75,high_or_bursty,active,active,True,158.1;43.9;41.0;48.7;40.4;39.7;34.0;73.5
24,idle,4,0.5,high_or_bursty,idle,active,False,106.7;52.3;52.3;52.1;54.0;78.3;89.9;98.3
25,low,5,0.625,high_or_bursty,active,active,True,85.0;31.0;30.9;29.2;51.3;60.1;59.4;71.0
26,high,6,0.75,high_or_bursty,active,active,True,174.6;56.6;54.6;51.2;88.1;50.9;43.2;46.0
27,bursty,4,0.5,high_or_bursty,active,active,True,145.4;56.1;72.2;50.1;43.5;39.6;66.4;75.3
28,idle,4,0.5,high_or_bursty,idle,active,False,111.0;50.0;48.6;49.6;50.3;78.2;83.9;89.1
29,low,4,0.5,high_or_bursty,active,active,True,140.3;51.5;51.1;50.0;49.3;79.0;89.0;97.6
30,high,6,0.75,high_or_bursty,active,active,True,82.5;28.3;29.3;27.9;152.6;27.2;33.1;26.3
31,bursty,6,0.75,high_or_bursty,active,active,True,90.1;48.0;32.8;41.4;41.8;50.1;54.5;60.3
32,idle,5,0.625,high_or_bursty,idle,active,False,94.4;49.4;48.5;49.2;46.1;48.7;80.0;87.2
33,low,5,0.625,high_or_bursty,active,active,True,105.4;45.2;46.1;44.4;46.3;48.4;79.6;84.8
34,high,6,0.75,high_or_bursty,active,active,True,86.0;31.1;27.6;30.2;46.5;79.5;56.3;59.6
35,bursty,5,0.625,high_or_bursty,active,active,True,124.0;42.5;40.9;44.9;39.1;44.0;67.9;73.6
36,idle,4,0.5,high_or_bursty,idle,active,False,94.6;50.7;50.6;48.6;45.9;80.7;85.4;96.9
37,low,6,0.75,high_or_bursty,active,active,True,101.0;51.4;45.9;46.7;48.7;55.2;56.1;60.3
38,high,6,0.75,high_or_bursty,active,active,True,86.4;60.2;55.6;33.8;45.2;42.5;50.1;52.0
39,bursty,5,0.625,high_or_bursty,active,active,True,131.3;57.8;46.4;53.9;52.4;47.0;79.2;85.6
