correct,gpu_temp_c,ground_truth,hidden_activity_latency_ms,predicted,probe_latency_ms,trial
True,44,active,73.71063,active,27.31861,0
True,43,idle,,idle,88.801925,1
True,43,active,86.9394,active,31.725734,2
True,43,idle,,idle,96.476941,3
True,44,active,96.62496,active,49.736226,4
True,44,idle,,idle,121.775282,5
True,44,active,89.246871,active,33.89389,6
True,44,idle,,idle,93.739654,7
True,44,active,99.856805,active,43.884719,8
True,44,idle,,idle,102.830992,9
True,44,active,99.401311,active,42.684309,10
True,44,idle,,idle,94.8028,11
True,44,active,99.31979,active,47.627118,12
True,44,idle,,idle,114.591991,13
False,45,active,101.145267,idle,57.613136,14
True,45,idle,,idle,104.355336,15
True,45,active,100.867218,active,41.952978,16
True,45,idle,,idle,95.730903,17
True,45,active,136.303364,active,47.746247,18
True,45,idle,,idle,99.361697,19
True,46,active,88.121765,active,42.535612,20
True,45,idle,,idle,96.50879,21
True,45,active,98.119174,active,40.829327,22
True,45,idle,,idle,104.882327,23
True,46,active,96.184151,active,43.345234,24
True,46,idle,,idle,103.459281,25
True,46,active,104.365275,active,46.995517,26
True,46,idle,,idle,102.107966,27
True,46,active,96.301161,active,41.051767,28
True,46,idle,,idle,100.105437,29
True,46,active,98.364363,active,44.794284,30
True,46,idle,,idle,101.966139,31
True,47,active,118.762613,active,45.791297,32
True,47,idle,,idle,118.675878,33
True,47,active,96.96221,active,43.434893,34
True,47,idle,,idle,94.789974,35
True,47,active,96.804315,active,38.230957,36
True,47,idle,,idle,123.968888,37
True,47,active,98.276411,active,44.314541,38
True,47,idle,,idle,121.125152,39
