correct,gpu_temp_c,ground_truth,hidden_activity_latency_ms,predicted,probe_latency_ms,trial
True,81,active,91.277723,active,24.439599,0
True,72,idle,,idle,75.700707,1
True,72,active,75.920106,active,40.910002,2
True,69,idle,,idle,102.513521,3
True,68,active,82.654675,active,47.459981,4
True,67,idle,,idle,98.249252,5
True,67,active,98.930669,active,48.465532,6
True,66,idle,,idle,104.928684,7
True,65,active,92.511703,active,45.959002,8
True,66,idle,,idle,110.017501,9
True,65,active,97.927573,active,45.739637,10
True,65,idle,,idle,102.83935,11
True,66,active,89.543867,active,37.686309,12
True,67,idle,,idle,119.996738,13
True,65,active,102.925672,active,46.569808,14
True,65,idle,,idle,94.639598,15
True,66,active,94.540281,active,52.079698,16
True,65,idle,,idle,109.453244,17
True,65,active,84.997505,active,42.526305,18
True,65,idle,,idle,119.548966,19
True,66,active,113.823216,active,50.438339,20
True,65,idle,,idle,116.861191,21
True,65,active,105.686629,active,50.311406,22
True,66,idle,,idle,116.009694,23
True,65,active,92.879714,active,45.372259,24
True,65,idle,,idle,108.472644,25
True,65,active,97.149628,active,46.810362,26
True,66,idle,,idle,113.31941,27
True,65,active,99.580578,active,48.690436,28
True,65,idle,,idle,129.963476,29
True,65,active,85.941598,active,45.338073,30
True,65,idle,,idle,102.682885,31
True,66,active,89.248263,active,41.521558,32
True,65,idle,,idle,108.365396,33
True,65,active,103.319941,active,45.570292,34
True,65,idle,,idle,101.004379,35
True,66,active,97.58479,active,48.073204,36
True,65,idle,,idle,165.665494,37
True,65,active,111.454834,active,50.913693,38
True,64,idle,,idle,144.255741,39
