trial,ground_truth,predicted,correct,latency_med_ms,latency_law_ms,latency_track_0_ms,latency_track_1_ms,latency_track_2_ms,latency_track_3_ms,latency_track_4_ms,latency_track_5_ms
0,med,med,True,24.041929,43.257603,38.812875,37.697514,38.580411,35.068654,40.10696,36.855997
1,law,law,True,36.094595,24.216013,36.548875,42.540818,39.460485,36.534066,39.582023,40.066462
2,track_0,track_0,True,44.716149,48.768024,26.910613,43.606748,45.432973,39.768108,48.368028,44.986519
3,track_1,track_1,True,38.018844,40.462892,38.519993,24.50131,37.665815,36.912518,33.78674,36.28003
4,track_2,track_2,True,35.45029,37.142238,32.960905,34.109641,20.225564,34.37797,35.405456,36.988882
5,track_3,track_3,True,39.203598,42.951759,39.846428,37.615449,37.840999,24.206651,36.548816,37.885625
6,track_4,track_4,True,35.975504,38.667524,35.304024,36.159504,38.436291,34.440285,23.640338,38.071812
7,track_5,track_5,True,39.801321,39.968811,41.249708,38.756149,39.294698,38.528143,37.70617,23.99345
8,med,med,True,21.440757,39.722376,35.364588,35.155708,36.323429,33.419734,34.375418,39.53157
9,law,law,True,36.964088,23.442127,33.353201,33.713202,42.128124,35.729912,38.350844,37.736951
10,track_0,track_0,True,33.901305,35.128077,22.635598,33.471819,36.557425,31.715846,40.507838,32.969926
11,track_1,track_1,True,33.627957,35.060165,39.873298,20.617098,35.17246,31.59186,33.272427,37.894262
12,track_2,track_2,True,33.652982,34.882754,30.9577,32.622131,21.05719,36.496658,36.556119,41.409234
13,track_3,track_3,True,35.641757,37.159057,35.915054,33.077334,34.903679,20.883801,36.805094,34.421496
14,track_4,track_4,True,34.483593,37.910452,34.500371,40.01749,33.892653,34.650441,20.743889,34.727239
15,track_5,track_5,True,37.478229,36.561297,43.066334,40.312861,38.07026,36.247389,38.356962,24.062565
16,med,med,True,20.029216,38.206554,40.255246,32.220818,33.579354,42.499703,39.664469,41.562986
17,law,law,True,36.796631,23.34781,32.023063,32.076577,34.001232,31.130865,34.080454,33.988406
18,track_0,track_0,True,34.762781,37.33528,24.056608,37.545943,36.877617,33.393708,34.690386,38.562554
19,track_1,track_1,True,43.689736,42.338103,45.610906,25.181754,44.065906,37.741239,40.114203,41.651518
20,track_2,track_2,True,37.851576,40.500026,38.767948,37.874378,24.556524,36.739136,37.802122,44.716259
21,track_3,track_3,True,44.794339,43.888139,43.135661,43.637221,40.776908,29.393465,40.460497,40.268385
22,track_4,track_4,True,37.504582,40.674556,38.80293,42.804579,40.26722,39.382254,27.362813,39.821738
23,track_5,track_5,True,41.127045,39.608962,36.001266,36.732447,42.505609,35.095739,38.065237,23.527641
24,med,med,True,20.383604,35.106582,32.51245,34.751734,35.154316,31.614193,35.901423,41.28307
25,law,law,True,41.8393,21.382743,36.455433,40.224964,48.749312,53.133828,44.873375,45.293932
26,track_0,track_0,True,31.713449,31.995077,19.933111,34.291663,33.914437,30.954244,32.156856,33.823838
27,track_1,track_1,True,37.43873,39.530002,35.974961,23.462314,39.130765,32.158228,31.740771,33.081365
28,track_2,track_2,True,30.919912,32.571179,29.568573,30.379042,21.766022,31.109564,29.718742,32.234502
29,track_3,track_3,True,34.409464,33.538031,31.736444,33.160151,33.24341,21.512422,33.6581,33.399589
30,track_4,track_4,True,32.826062,33.316887,32.749054,34.874095,33.517421,30.650786,20.497113,32.953694
31,track_5,track_5,True,31.822499,32.909656,31.112956,31.788764,31.794964,34.007429,31.776758,19.129233
32,med,med,True,19.891915,35.562519,31.416797,30.889456,33.347904,30.488425,36.518933,32.897371
33,law,law,True,35.49987,24.258862,35.194205,36.084348,33.891255,32.314897,34.342891,35.304429
34,track_0,track_0,True,36.617632,35.832548,22.448076,34.518906,35.916452,32.119768,32.103804,32.840384
35,track_1,track_1,True,34.939492,32.851495,29.91487,18.856518,35.894913,32.790335,31.241384,33.543049
36,track_2,track_2,True,32.79636,33.578645,30.730079,31.744678,19.052683,31.346703,32.270464,33.551795
37,track_3,track_3,True,33.34519,36.249487,32.807891,30.503057,34.520545,19.293623,35.125771,37.305154
38,track_4,track_4,True,34.369572,36.556946,31.964779,31.608298,36.933177,29.52247,19.555655,35.590229
39,track_5,track_5,True,31.603841,42.24319,37.766527,33.604242,31.198719,30.691937,32.694629,19.082593
40,med,med,True,19.662157,32.243442,28.989994,31.765423,34.464883,32.461771,31.944916,33.190231
41,law,law,True,41.29176,19.732869,39.227431,32.338157,42.556792,34.351902,32.395342,34.025127
