correct,gpu_temp_c,ground_truth,latency_a_ms,latency_b_ms,predicted,trial,wall_timestamp_a_ns,wall_timestamp_b_ns
True,53,A,30.664261,157.828148,A,0,1788418785268774681,1788418785302577061
True,56,B,77.185978,26.47118,B,1,1788418786673065867,1788418786754063727
True,55,both,24.988877,23.426047,both,2,1788418787992945354,1788418788020279641
True,56,neither,163.031821,424.666239,neither,3,1788418789364380272,1788418789542332984
True,56,A,23.329172,331.907111,A,4,1788418791377886390,1788418791403692958
True,56,B,156.442297,31.249756,B,5,1788418793437473325,1788418793596405744
True,57,both,27.934781,23.465248,both,6,1788418795427021657,1788418795457235225
True,56,neither,430.38228,560.344303,neither,7,1788418797139181345,1788418797573948097
True,56,A,28.442906,330.409909,A,8,1788418801358991936,1788418801391284192
True,56,B,82.450184,23.914703,B,9,1788418803994261321,1788418804079321300
True,56,both,33.367373,27.926189,both,10,1788418805562537104,1788418805598783457
True,57,neither,137.700341,295.996208,neither,11,1788418806846287620,1788418806988038995
True,60,A,27.23299,283.365213,A,12,1788418808619584510,1788418808676464362
True,58,B,104.296035,26.062713,B,13,1788418810316945154,1788418810423867820
True,58,both,24.364341,23.410731,both,14,1788418811715864673,1788418811742803674
True,59,neither,91.008663,158.998681,neither,15,1788418812769148423,1788418812862901980
True,63,A,24.100741,268.567137,A,16,1788418814080649583,1788418814123006288
True,64,B,135.281624,28.192879,B,17,1788418815650605741,1788418815790805495
True,60,both,24.437995,24.240759,both,18,1788418817526716462,1788418817554288619
True,61,neither,92.704476,245.948989,neither,19,1788418818726051576,1788418818822002595
True,61,A,23.422175,170.907356,A,20,1788418820336141931,1788418820363316283
True,62,B,88.129256,30.568692,B,21,1788418821901237446,1788418821992492037
True,61,both,27.825404,28.670583,both,22,1788418823370409146,1788418823403971341
True,63,neither,74.263284,149.091907,neither,23,1788418824473867491,1788418824550595981
True,62,A,28.35609,174.848129,A,24,1788418825957293028,1788418825989247027
True,63,B,81.505945,24.851712,B,25,1788418827388568261,1788418827472455214
True,63,both,29.451703,23.028836,both,26,1788418828972117910,1788418829006462494
True,67,neither,73.638544,150.160662,neither,27,1788418829997795953,1788418830073793847
True,63,A,23.485655,161.471727,A,28,1788418831309278500,1788418831335747223
True,62,B,83.310299,25.830125,B,29,1788418832819192575,1788418832919076074
True,63,both,30.110191,28.938216,both,30,1788418834116881221,1788418834149889707
True,63,neither,85.47508,151.237728,neither,31,1788418835195927220,1788418835284120881
True,61,A,26.494133,346.143997,A,32,1788418837622910040,1788418837652341051
True,64,B,93.539669,24.860496,B,33,1788418839946953822,1788418840042926879
True,61,both,30.829303,29.116755,both,34,1788418843224616178,1788418843259721795
True,61,neither,545.606171,1175.934149,neither,35,1788418845876225467,1788418846425597558
True,60,A,35.892933,666.868728,A,36,1788418850606376130,1788418850645259842
True,61,B,581.355642,26.023864,B,37,1788418852821063119,1788418853405561930
True,59,both,36.499083,32.200079,both,38,1788418858117247911,1788418858156725732
True,59,neither,450.417689,903.260335,neither,39,1788418861678837138,1788418862136638912
True,60,A,28.57647,567.619394,A,40,1788418867320307569,1788418867351703119
False,58,B,609.741861,74.621424,neither,41,1788418872020625822,1788418872633423357
True,59,both,27.800085,43.17194,both,42,1788418877454026952,1788418877501527965
True,62,neither,265.922264,1140.276414,neither,43,1788418881009797387,1788418881278016477
True,59,A,25.69776,673.373149,A,44,1788418886088839566,1788418886118404426
True,58,B,185.30981,32.489528,B,45,1788418891092205921,1788418891297449024
True,59,both,34.324271,33.734423,both,46,1788418893467329770,1788418893504784192
True,59,neither,306.092298,1239.46356,neither,47,1788418897362791585,1788418897671631609
True,59,A,30.21484,879.277973,A,48,1788418903242063491,1788418903292555217
