trial,ground_truth,probe_idx,latency_a_ms,latency_b_ms
0,A,0,1769.017938,1899.636219
0,A,1,767.329444,952.30945
0,A,2,1247.795716,727.626485
0,A,3,1588.471112,1535.499254
0,A,4,1426.025769,1967.851903
1,B,0,1006.552227,3238.351621
1,B,1,1400.664492,1714.158481
1,B,2,114.557745,1622.573739
1,B,3,1784.758858,2103.495154
1,B,4,1492.289362,1249.523756
2,both,0,1318.339523,957.415151
2,both,1,783.163193,1161.025526
2,both,2,1210.439191,1192.187538
2,both,3,1344.43169,2134.619271
2,both,4,1072.093472,2403.611245
3,neither,0,2764.060897,1265.079506
3,neither,1,1395.898148,1559.92784
3,neither,2,896.723734,875.583376
3,neither,3,1528.795533,877.565541
3,neither,4,1456.07367,718.934124
4,A,0,1122.860894,1374.599803
4,A,1,1719.608912,1518.43862
4,A,2,1219.726986,1096.743867
4,A,3,897.17438,1168.153062
4,A,4,1109.120785,1573.386347
5,B,0,1380.04763,2619.978882
5,B,1,1433.607937,1397.939207
5,B,2,2306.313612,1233.828332
5,B,3,1218.309211,1942.714812
5,B,4,1372.146647,919.974783
6,both,0,661.263905,2020.420442
6,both,1,1180.073475,413.465459
6,both,2,1378.920192,1559.958585
6,both,3,218.089927,1563.201369
6,both,4,1541.018084,1748.098801
7,neither,0,766.831028,1212.589691
7,neither,1,1919.48641,1821.210483
7,neither,2,1440.785486,1710.96868
7,neither,3,1260.193433,1386.888873
7,neither,4,2812.562354,1469.538184
8,A,0,1950.908603,1668.560644
8,A,1,1589.544791,1685.413591
8,A,2,2073.283114,2663.403003
8,A,3,1363.894019,1390.448781
8,A,4,1873.540823,1891.012072
9,B,0,1230.587443,1426.166283
9,B,1,1448.750161,1388.831312
9,B,2,828.700165,1408.577432
9,B,3,1416.734712,1833.864401
9,B,4,705.438017,2220.142711
10,both,0,2137.934291,1239.916839
10,both,1,1441.379733,2310.97282
10,both,2,2223.92919,1347.957092
10,both,3,1292.361961,1029.088624
10,both,4,1453.831291,1742.15531
11,neither,0,1415.307236,1591.224447
11,neither,1,1040.922083,1440.522355
11,neither,2,1326.179033,2514.798408
11,neither,3,1398.28393,2971.8049
11,neither,4,1663.572857,2023.184901
12,A,0,1643.837675,1422.754802
12,A,1,1874.919532,1566.433816
12,A,2,1174.701912,1408.466149
12,A,3,791.278562,1022.632609
12,A,4,1359.187047,1783.943168
13,B,0,1207.450941,1756.2215
13,B,1,1712.844924,1278.0571
13,B,2,1863.846704,1959.508317
13,B,3,1535.035558,1115.308841
13,B,4,1684.549326,1627.456719
14,both,0,1596.439738,2879.798558
14,both,1,1298.077472,1438.442458
14,both,2,1363.562054,1263.243338
14,both,3,1215.821691,1455.654311
14,both,4,1129.633802,1172.575419
15,neither,0,1132.026987,1580.857373
15,neither,1,989.530015,1221.806056
15,neither,2,2036.605462,2629.351897
15,neither,3,780.212814,1104.807472
15,neither,4,2311.006404,1445.628857
16,A,0,376.800077,966.685602
16,A,1,2048.598224,1292.752172
16,A,2,1898.508997,1566.903148
16,A,3,1184.074579,1707.627663
16,A,4,1629.532266,784.728408
17,B,0,1235.731731,1155.481297
17,B,1,867.859152,1905.204149
17,B,2,946.681949,1412.114405
17,B,3,1261.887128,1077.80438
17,B,4,1172.535868,186.882955
18,both,0,26.967165,24.891354
18,both,1,21.837266,23.320895
18,both,2,24.713253,22.349081
18,both,3,23.988318,23.04294
18,both,4,22.076414,24.597593
19,neither,0,86.008487,172.871459
19,neither,1,22.722579,22.112237
19,neither,2,22.582919,22.916105
19,neither,3,22.034987,21.671814
19,neither,4,24.420957,26.753485
