correct,gpu_temp_c,ground_truth,latency_a_ms,latency_b_ms,predicted,trial,wall_timestamp_a_ns,wall_timestamp_b_ns
True,79,A,49.916625,969.93432,A,0,1788371805587147632,1788371805644150020
True,82,B,108.4402,51.184629,B,1,1788371820426712699,1788371820539087535
False,80,both,1594.765081,1676.764797,neither,2,1788371833482471044,1788371835083528287
True,84,neither,444.830531,1570.653116,neither,3,1788371852750569099,1788371853197762234
True,83,A,51.381752,430.190386,A,4,1788371868197337761,1788371868252361764
False,75,B,1775.151576,280.176576,neither,5,1788371882866060506,1788371884648265311
False,78,both,1381.055699,1585.134268,neither,6,1788371898620636992,1788371900004533945
True,73,neither,2155.257098,2425.834983,neither,7,1788371912868849827,1788371915034468597
True,81,A,55.054768,189.996719,A,8,1788371930825555874,1788371930884349968
True,82,B,1979.888725,47.966892,B,9,1788371942690393399,1788371944674085916
False,83,both,47.922988,1814.228572,A,10,1788371956459888058,1788371956536722924
True,84,neither,300.039155,1330.203461,neither,11,1788371970128711456,1788371970453235904
False,84,A,1345.009777,1098.899479,neither,12,1788371983065843313,1788371984461504809
False,79,B,387.376304,1731.681017,neither,13,1788372001315470394,1788372001705321125
False,82,both,267.74941,1311.784004,neither,14,1788372018819906524,1788372019091917194
True,82,neither,1376.561738,1675.666717,neither,15,1788372033952333893,1788372035401813744
False,78,A,1552.018498,1503.94826,neither,16,1788372047443612362,1788372049049472173
False,78,B,1489.899198,1368.44575,neither,17,1788372065216954738,1788372066829467421
False,80,both,1165.548856,1273.30977,neither,18,1788372080772282223,1788372081941651741
True,84,neither,1300.97038,834.068055,neither,19,1788372094624863626,1788372095953702343
False,77,A,1526.442599,1835.302678,neither,20,1788372108630537795,1788372110161919532
False,83,B,430.396198,1373.615261,neither,21,1788372126350761726,1788372126784741592
False,81,both,1942.406308,50.622964,B,22,1788372138406282479,1788372140351412481
True,83,neither,766.049776,248.472961,neither,23,1788372149347804809,1788372150116786808
False,83,A,770.756673,1328.208102,neither,24,1788372161769819010,1788372162544967547
False,80,B,242.021763,223.681689,neither,25,1788372174249463466,1788372174579396335
False,75,both,1782.762953,50.527784,B,26,1788372188580306036,1788372190366077342
True,83,neither,405.632692,1703.387739,neither,27,1788372204111802655,1788372204520928751
False,82,A,2061.195346,2212.809295,neither,28,1788372219869474634,1788372221933568685
False,83,B,778.397852,1207.083635,neither,29,1788372240307831987,1788372241091067244
False,85,both,1177.366668,2300.132737,neither,30,1788372254991104009,1788372256184684065
True,82,neither,1435.975243,1320.046218,neither,31,1788372270733010413,1788372272191475036
False,77,A,1637.373425,892.338576,neither,32,1788372285053760440,1788372286693977788
False,79,B,1920.500173,192.044582,neither,33,1788372298709858525,1788372300646341552
False,82,both,2252.444723,1258.47455,neither,34,1788372319636100475,1788372321895194217
False,82,neither,47.096675,414.02712,A,35,1788372334430314865,1788372334479795179
False,79,A,876.236593,759.694587,neither,36,1788372341396957101,1788372342276072717
False,83,B,1054.718493,1167.635667,neither,37,1788372355317324644,1788372356383827603
True,73,both,26.853971,24.719662,both,38,1788372368899134415,1788372368929205663
True,73,neither,90.662725,155.507696,neither,39,1788372369961898376,1788372370060434553
