correct,gpu_temp_c,ground_truth,latency_a_ms,latency_b_ms,predicted,trial,wall_timestamp_a_ns,wall_timestamp_b_ns
True,55,A,21.158627,36.948059,A,0,1788834674123787237,1788834674148624904
False,54,B,33.521241,28.406172,neither,1,1788834680086598923,1788834680122892058
False,56,both,32.599667,32.149732,neither,2,1788834686889093803,1788834686925965391
True,56,neither,42.501931,46.345497,neither,3,1788834693691964643,1788834693737007438
False,57,A,29.034242,56.058355,neither,4,1788834702255528493,1788834702289054718
False,57,B,53.503895,33.078876,neither,5,1788834708680426097,1788834708736521083
False,58,both,30.257675,32.731526,neither,6,1788834716133866485,1788834716167095465
True,59,neither,52.097766,58.746039,neither,7,1788834722821312277,1788834722879294493
True,60,A,20.173347,33.965937,A,8,1788834728979312518,1788834729002643043
True,61,B,32.078171,19.725595,B,9,1788834734461104775,1788834734497163343
True,59,both,21.575862,20.192211,both,10,1788834740244712609,1788834740269907564
True,60,neither,36.904378,38.803521,neither,11,1788834745809390900,1788834745863801384
True,59,A,22.627152,39.000781,A,12,1788834752130600481,1788834752156361558
True,59,B,37.248408,21.811398,B,13,1788834758305980237,1788834758346752457
True,60,both,23.019045,21.913252,both,14,1788834764251433341,1788834764277052694
True,60,neither,53.229719,51.69302,neither,15,1788834770169881977,1788834770225579072
True,61,A,20.487053,35.551094,A,16,1788834776012655339,1788834776053931067
True,61,B,36.250568,21.294473,B,17,1788834781868799432,1788834781907333408
True,60,both,21.439894,19.474285,both,18,1788834787677453346,1788834787701334295
True,61,neither,37.595858,35.138593,neither,19,1788834793280586130,1788834793320562158
True,62,A,20.341477,40.396227,A,20,1788834798985799241,1788834799009596883
True,62,B,34.630574,20.88782,B,21,1788834804624841904,1788834804661958488
False,62,both,37.315666,28.021352,neither,22,1788834810311108175,1788834810352451386
True,62,neither,35.819545,43.48546,neither,23,1788834815897893471,1788834815936908867
True,60,A,20.385139,36.430427,A,24,1788834821632149352,1788834821655408892
True,62,B,37.760243,20.681595,B,25,1788834827265711148,1788834827305723987
True,62,both,24.25878,22.464746,both,26,1788834832984603587,1788834833011895195
True,62,neither,33.351472,34.836057,neither,27,1788834838572709952,1788834838608313108
True,61,A,20.387343,36.637252,A,28,1788834844242499777,1788834844265608783
True,63,B,32.243798,20.378303,B,29,1788834849863726715,1788834849898098403
False,60,both,22.442919,27.041115,A,30,1788834855581445899,1788834855606721499
True,62,neither,34.62571,37.07082,neither,31,1788834861236034633,1788834861273902246
True,63,A,21.04576,38.669895,A,32,1788834866972852067,1788834866996831212
True,62,B,36.179492,21.575254,B,33,1788834872853703180,1788834872892395438
True,61,both,23.950742,25.200778,both,34,1788834879477814755,1788834879506651068
True,62,neither,41.333095,37.883937,neither,35,1788834885451421881,1788834885495562910
True,60,A,20.609516,37.319772,A,36,1788834891161519123,1788834891185979108
True,62,B,31.944128,23.234162,B,37,1788834896807019948,1788834896842484395
True,63,both,21.753801,21.168049,both,38,1788834902428115534,1788834902452550256
True,62,neither,35.197683,34.348064,neither,39,1788834908097584492,1788834908138929105
