correct,gpu_temp_c,ground_truth,latency_a_ms,latency_b_ms,predicted,trial,wall_timestamp_a_ns,wall_timestamp_b_ns
True,48,A,21.544479,148.081352,A,0,1788368759412228721,1788368759446785158
True,48,B,96.434606,18.591157,B,1,1788368760721284361,1788368760822408365
True,47,both,25.813468,20.298426,both,2,1788368761974950533,1788368762007593890
True,46,neither,84.066395,81.133934,neither,3,1788368763074723441,1788368763162005591
True,46,A,27.157297,90.082002,A,4,1788368764479145535,1788368764510334593
True,46,B,85.101174,21.930418,B,5,1788368765733169137,1788368765842204126
True,47,both,30.102961,21.559915,both,6,1788368766984069277,1788368767024410793
True,46,neither,73.079138,75.926212,neither,7,1788368768097165660,1788368768173802211
True,47,A,21.753358,97.964247,A,8,1788368769373755401,1788368769399126974
True,47,B,85.662151,22.81149,B,9,1788368770629315869,1788368770721244769
True,47,both,28.301919,22.789636,both,10,1788368771961354201,1788368771993168506
True,47,neither,80.985158,79.598501,neither,11,1788368773043835748,1788368773128071053
True,48,A,22.500055,77.454295,A,12,1788368774373697854,1788368774399153734
True,47,B,80.04175,22.258728,B,13,1788368775575908188,1788368775659570817
True,48,both,22.55728,20.525626,both,14,1788368776855342595,1788368776881330869
True,48,neither,91.396046,77.280654,neither,15,1788368777891052387,1788368777985828040
True,48,A,21.336091,65.566797,A,16,1788368779131164743,1788368779155672537
True,48,B,74.032311,22.257056,B,17,1788368780274481552,1788368780356521708
True,48,both,24.470731,20.26986,both,18,1788368781547068653,1788368781574678646
True,48,neither,82.973063,73.710715,neither,19,1788368782864124537,1788368782951039698
True,48,A,25.739176,73.519549,A,20,1788368784137985697,1788368784167097775
True,49,B,79.847251,21.457624,B,21,1788368785307331347,1788368785390407394
True,48,both,23.445328,20.325718,both,22,1788368786563059996,1788368786589555816
True,48,neither,78.474026,73.733253,neither,23,1788368787657517820,1788368787738476651
True,48,A,25.750439,77.719651,A,24,1788368789036874870,1788368789066466875
True,49,B,78.914986,21.114546,B,25,1788368790330136496,1788368790438592845
True,49,both,27.255411,25.54292,both,26,1788368791587828688,1788368791642075641
True,49,neither,76.350748,67.142362,neither,27,1788368792676663746,1788368792756329066
True,50,A,25.462571,67.618965,A,28,1788368793869464017,1788368793900388868
True,49,B,74.307427,21.41463,B,29,1788368795102663310,1788368795185152958
True,49,both,23.199524,21.691928,both,30,1788368796344403149,1788368796375669795
True,49,neither,73.460216,89.372609,neither,31,1788368797501816318,1788368797580746059
True,50,A,20.201384,73.791625,A,32,1788368798757062015,1788368798780587552
True,50,B,80.682022,20.448313,B,33,1788368799927116035,1788368800027523293
True,50,both,22.349629,20.129851,both,34,1788368801711390004,1788368801741916253
True,51,neither,75.029176,70.564426,neither,35,1788368802787554085,1788368802870097948
True,50,A,25.486573,65.84742,A,36,1788368804049012797,1788368804077976645
True,51,B,76.262648,19.786891,B,37,1788368805245215482,1788368805324716123
True,51,both,23.673561,19.622585,both,38,1788368806522730144,1788368806554630252
True,50,neither,77.918231,64.684525,neither,39,1788368807563551542,1788368807644748638
