correct,gpu_temp_c,ground_truth,latency_a_ms,latency_b_ms,predicted,trial,wall_timestamp_a_ns,wall_timestamp_b_ns
True,56,A,23.69242,131.150756,A,0,1788369504611742228,1788369504638467341
True,58,B,68.519209,18.501197,B,1,1788369505787250057,1788369505858085345
True,57,both,23.189159,18.206006,both,2,1788369507037567226,1788369507068295986
True,56,neither,70.538749,138.330021,neither,3,1788369508055646658,1788369508129348335
True,57,A,19.50842,141.115971,A,4,1788369509252401963,1788369509280448433
True,56,B,80.811804,20.431712,B,5,1788369510473651626,1788369510557755143
True,56,both,26.15225,20.930917,both,6,1788369511740131554,1788369511791423690
True,57,neither,82.052511,156.005106,neither,7,1788369512723080290,1788369512808362144
True,57,A,20.190777,170.170358,A,8,1788369513968626440,1788369513992346857
True,57,B,72.903774,18.533716,B,9,1788369515218366794,1788369515294624422
True,57,both,22.984655,19.38373,both,10,1788369516435647712,1788369516461871141
True,56,neither,82.56112,170.596462,neither,11,1788369517388774296,1788369517474926850
True,56,A,23.402118,158.574512,A,12,1788369518712867875,1788369518739859320
True,56,B,77.078303,19.259119,B,13,1788369520062653487,1788369520143669190
True,57,both,21.376173,20.76389,both,14,1788369521354393788,1788369521384346676
True,57,neither,78.985736,169.214074,neither,15,1788369522323676588,1788369522405867192
True,57,A,20.270866,148.599118,A,16,1788369523605438269,1788369523628790281
True,56,B,74.732472,23.628679,B,17,1788369524899852260,1788369524996798076
True,57,both,22.907117,20.169436,both,18,1788369526346837875,1788369526389826752
True,57,neither,74.437386,188.527605,neither,19,1788369527293200796,1788369527392589953
True,58,A,25.069929,150.022144,A,20,1788369528593988783,1788369528622202920
True,58,B,86.813402,19.775848,B,21,1788369529892370293,1788369529982318855
True,57,both,24.275554,23.768634,both,22,1788369531251316107,1788369531281638640
True,57,neither,104.449168,173.257084,neither,23,1788369532425375462,1788369532538619866
True,57,A,27.137132,142.777033,A,24,1788369533851208538,1788369533882195526
True,57,B,88.755934,26.053062,B,25,1788369535180925117,1788369535273289566
True,57,both,23.018706,23.022489,both,26,1788369536578386552,1788369536605622309
True,57,neither,74.196543,148.151631,neither,27,1788369537581105486,1788369537659398269
True,57,A,22.388013,150.672579,A,28,1788369538967072589,1788369538993526158
True,58,B,133.59525,22.796559,B,29,1788369540274634975,1788369540413171175
True,57,both,30.972141,21.528847,both,30,1788369541745570168,1788369541793149613
True,58,neither,92.141768,153.872744,neither,31,1788369542801698270,1788369542901042559
True,57,A,28.000086,210.324367,A,32,1788369544221494631,1788369544263492987
True,57,B,85.335343,21.932065,B,33,1788369545669610136,1788369545792168912
True,57,both,27.690051,25.274385,both,34,1788369546973918127,1788369547005504372
True,58,neither,84.192608,146.46354,neither,35,1788369548091351572,1788369548183836161
True,57,A,26.065376,153.317098,A,36,1788369549411196171,1788369549441663081
True,57,B,100.655099,21.646375,B,37,1788369550883671853,1788369550987773196
True,57,both,33.17074,27.542806,both,38,1788369552289464718,1788369552326377537
True,57,neither,82.01998,214.714057,neither,39,1788369553473122495,1788369553581686090
True,57,A,26.567884,154.411942,A,40,1788369555000994035,1788369555035598698
True,58,B,91.27076,26.316855,B,41,1788369556327117144,1788369556421726464
True,58,both,24.325634,21.078899,both,42,1788369557758631630,1788369557786066157
True,58,neither,79.194876,145.575743,neither,43,1788369558773383233,1788369558857002398
True,57,A,23.107939,145.143856,A,44,1788369560073927171,1788369560099576189
True,58,B,73.144492,21.906564,B,45,1788369561326652045,1788369561406382420
True,57,both,27.982229,22.039876,both,46,1788369562678875879,1788369562710861819
True,58,neither,83.693835,144.084405,neither,47,1788369563784123522,1788369563871111519
True,57,A,26.240376,139.117089,A,48,1788369565098366201,1788369565127241003
True,57,B,78.19816,20.933313,B,49,1788369566378220342,1788369566459339996
True,57,both,22.607905,22.136007,both,50,1788369567643417934,1788369567669174970
True,58,neither,81.554175,137.217027,neither,51,1788369568759199408,1788369568845992755
True,58,A,26.861273,138.985247,A,52,1788369570070796129,1788369570102280989
True,58,B,83.541955,21.995371,B,53,1788369571370006122,1788369571456073721
True,58,both,22.389547,21.078468,both,54,1788369572706638729,1788369572732683854
True,58,neither,70.749117,147.752495,neither,55,1788369573732355765,1788369573806220648
True,57,A,24.666291,144.651313,A,56,1788369575056337612,1788369575089170690
True,58,B,83.848182,21.896274,B,57,1788369576322165606,1788369576414061661
True,57,both,26.92019,22.108084,both,58,1788369577657924291,1788369577687238474
True,58,neither,109.737438,145.284992,neither,59,1788369578667337952,1788369578786018162
