trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,active,True,152.665965
1,idle,active,False,152.220257
2,active,active,True,152.752254
3,idle,active,False,152.069018
4,active,active,True,153.57309
5,idle,idle,True,151.946873
6,active,active,True,153.674314
7,idle,active,False,153.827778
8,active,active,True,152.405425
9,idle,idle,True,151.951991
10,active,active,True,152.541966
11,idle,active,False,154.667944
12,active,active,True,153.79313
13,idle,active,False,153.385742
14,active,active,True,153.617442
15,idle,active,False,152.091169
16,active,active,True,152.166728
17,idle,active,False,152.551701
18,active,active,True,153.272463
19,idle,active,False,153.092399
20,active,active,True,152.958558
21,idle,active,False,153.928601
22,active,active,True,153.076236
23,idle,active,False,154.508157
24,active,active,True,153.762864
25,idle,active,False,152.325128
26,active,idle,False,151.946785
27,idle,active,False,152.831813
28,active,idle,False,151.890753
29,idle,active,False,152.959785
30,active,active,True,154.723864
31,idle,idle,True,151.891532
32,active,active,True,152.208136
33,idle,active,False,154.17978
34,active,active,True,153.326881
35,idle,active,False,153.441551
36,active,active,True,152.364403
37,idle,active,False,154.086775
38,active,active,True,153.137355
39,idle,active,False,154.179117
