trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,idle,False,49.793174
1,idle,idle,True,44.266325
2,active,idle,False,43.00486
3,idle,idle,True,38.270981
4,active,idle,False,48.854814
5,idle,idle,True,40.223248
6,active,idle,False,46.936873
7,idle,idle,True,40.424926
8,active,idle,False,51.085925
9,idle,idle,True,38.908569
10,active,idle,False,43.436339
11,idle,idle,True,41.551915
12,active,idle,False,53.592006
13,idle,idle,True,39.668965
14,active,idle,False,45.902942
15,idle,idle,True,35.841764
16,active,idle,False,54.741659
17,idle,idle,True,39.537914
18,active,idle,False,54.841101
19,idle,idle,True,44.521452
20,active,idle,False,53.542255
21,idle,idle,True,36.176388
22,active,idle,False,51.598787
23,idle,idle,True,42.564415
24,active,idle,False,52.089759
25,idle,idle,True,32.092388
26,active,idle,False,41.10716
27,idle,idle,True,40.22887
28,active,idle,False,50.525761
29,idle,idle,True,43.189499
30,active,idle,False,44.130511
31,idle,idle,True,39.947245
32,active,idle,False,38.880305
33,idle,idle,True,53.419007
34,active,idle,False,42.199321
35,idle,idle,True,35.225055
36,active,idle,False,45.28346
37,idle,idle,True,46.291304
38,active,idle,False,39.920316
39,idle,idle,True,41.04756
40,active,idle,False,47.804638
41,idle,idle,True,39.888112
42,active,idle,False,58.082701
43,idle,idle,True,35.947277
44,active,idle,False,52.542839
45,idle,idle,True,35.282609
46,active,idle,False,39.618597
47,idle,idle,True,43.369543
48,active,idle,False,45.842813
49,idle,idle,True,41.570695
50,active,idle,False,39.544412
51,idle,idle,True,29.875331
52,active,idle,False,46.974365
53,idle,idle,True,42.227017
54,active,idle,False,37.04824
55,idle,idle,True,39.780348
56,active,idle,False,52.436246
57,idle,idle,True,33.959958
58,active,idle,False,45.147317
59,idle,idle,True,32.371044
60,active,idle,False,38.445288
61,idle,idle,True,42.562376
62,active,idle,False,40.843092
63,idle,idle,True,34.67976
64,active,idle,False,47.898069
65,idle,idle,True,42.902899
66,active,idle,False,40.277489
67,idle,idle,True,33.884903
68,active,idle,False,42.028023
69,idle,idle,True,34.88816
70,active,idle,False,42.417837
71,idle,idle,True,40.363418
72,active,idle,False,48.896479
73,idle,idle,True,33.385791
74,active,idle,False,36.428534
75,idle,idle,True,39.935096
76,active,idle,False,42.794783
77,idle,idle,True,40.429757
78,active,idle,False,40.204935
79,idle,idle,True,39.334566
80,active,idle,False,35.224142
81,idle,idle,True,40.478299
82,active,idle,False,46.97803
83,idle,idle,True,34.213685
84,active,idle,False,43.668646
85,idle,idle,True,32.782636
86,active,idle,False,44.927787
87,idle,idle,True,36.520974
88,active,idle,False,38.738945
89,idle,idle,True,35.377933
90,active,idle,False,42.532076
91,idle,idle,True,38.240507
92,active,idle,False,46.040427
93,idle,idle,True,43.363435
94,active,idle,False,41.845873
95,idle,idle,True,40.162814
96,active,idle,False,41.687847
97,idle,idle,True,37.757175
98,active,idle,False,44.246714
99,idle,idle,True,42.01305
100,active,idle,False,39.628457
101,idle,idle,True,36.440632
102,active,idle,False,43.815519
103,idle,idle,True,36.492266
104,active,idle,False,51.755722
105,idle,idle,True,43.221969
106,active,idle,False,37.742634
107,idle,idle,True,39.485065
108,active,idle,False,49.82497
109,idle,idle,True,40.944138
110,active,idle,False,41.768653
111,idle,idle,True,34.358663
112,active,idle,False,40.800013
113,idle,idle,True,35.031594
114,active,idle,False,38.238611
115,idle,idle,True,41.102602
116,active,idle,False,47.765747
117,idle,idle,True,35.545185
118,active,idle,False,39.962856
119,idle,idle,True,36.681897
120,active,idle,False,55.587252
121,idle,idle,True,35.06704
122,active,idle,False,44.568064
123,idle,idle,True,42.289498
124,active,idle,False,51.734444
125,idle,idle,True,40.447328
126,active,idle,False,46.389328
127,idle,idle,True,40.067853
128,active,idle,False,41.744214
129,idle,idle,True,39.323844
130,active,idle,False,45.657198
131,idle,idle,True,45.663323
132,active,idle,False,40.968767
133,idle,idle,True,41.349918
134,active,idle,False,45.66937
135,idle,idle,True,32.301317
136,active,idle,False,39.615328
137,idle,idle,True,36.972288
138,active,idle,False,52.569734
139,idle,idle,True,34.4027
140,active,idle,False,39.004271
141,idle,idle,True,47.276148
142,active,idle,False,48.021974
143,idle,idle,True,38.916305
144,active,idle,False,51.022147
145,idle,idle,True,32.60031
146,active,idle,False,46.871465
147,idle,idle,True,39.427405
148,active,idle,False,45.860443
149,idle,idle,True,34.519952
