trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,idle,False,42.344781
1,idle,idle,True,43.879918
2,active,idle,False,50.991237
3,idle,idle,True,45.749165
4,active,idle,False,49.3151
5,idle,idle,True,43.635882
6,active,idle,False,43.200019
7,idle,idle,True,55.20842
8,active,idle,False,56.12109
9,idle,idle,True,40.156077
10,active,idle,False,52.194487
11,idle,idle,True,58.449567
12,active,idle,False,50.62593
13,idle,idle,True,44.473375
14,active,idle,False,51.932629
15,idle,idle,True,43.808354
16,active,idle,False,43.894483
17,idle,idle,True,40.14531
18,active,idle,False,45.359798
19,idle,idle,True,45.365777
20,active,idle,False,38.297373
21,idle,idle,True,50.130206
22,active,idle,False,48.862588
23,idle,idle,True,49.545205
24,active,idle,False,47.680705
25,idle,idle,True,53.727907
26,active,idle,False,44.650938
27,idle,active,False,62.52985
28,active,idle,False,50.342829
29,idle,idle,True,47.130671
30,active,idle,False,48.812042
31,idle,idle,True,48.733589
32,active,idle,False,43.945915
33,idle,idle,True,53.409414
34,active,idle,False,58.161579
35,idle,idle,True,43.960607
36,active,idle,False,49.140308
37,idle,idle,True,50.677842
38,active,active,True,61.586805
39,idle,idle,True,47.154633
40,active,idle,False,53.142341
41,idle,idle,True,45.728542
42,active,idle,False,59.136463
43,idle,idle,True,45.087461
44,active,idle,False,48.596767
45,idle,idle,True,52.613411
46,active,active,True,63.543162
47,idle,idle,True,43.22763
48,active,idle,False,46.220507
49,idle,idle,True,49.322891
50,active,active,True,66.760534
51,idle,idle,True,48.658951
52,active,active,True,62.625174
53,idle,idle,True,48.645959
54,active,idle,False,56.867881
55,idle,idle,True,48.221225
56,active,idle,False,48.891817
57,idle,idle,True,44.267881
58,active,idle,False,55.894195
59,idle,idle,True,43.896019
