trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,idle,False,59.132557
1,idle,idle,True,37.099192
2,active,idle,False,48.424268
3,idle,idle,True,46.567664
4,active,idle,False,55.86529
5,idle,idle,True,49.153579
6,active,idle,False,49.2846
7,idle,idle,True,47.740751
8,active,active,True,60.396453
9,idle,idle,True,50.126873
10,active,idle,False,50.385656
11,idle,idle,True,44.965656
12,active,idle,False,54.259812
13,idle,idle,True,51.777419
14,active,active,True,60.196755
15,idle,idle,True,41.496957
16,active,idle,False,48.211377
17,idle,idle,True,43.923896
18,active,idle,False,51.196748
19,idle,idle,True,36.37933
20,active,idle,False,40.028945
21,idle,idle,True,47.481964
22,active,idle,False,56.342697
23,idle,idle,True,46.813454
24,active,idle,False,45.888108
25,idle,idle,True,30.343702
26,active,idle,False,47.188435
27,idle,idle,True,41.788009
28,active,idle,False,48.592543
29,idle,idle,True,40.592937
30,active,idle,False,43.483291
31,idle,idle,True,40.325532
32,active,idle,False,50.242031
33,idle,idle,True,39.754204
34,active,idle,False,40.193988
35,idle,idle,True,37.284923
36,active,idle,False,41.059705
37,idle,idle,True,40.004307
38,active,idle,False,38.606045
39,idle,idle,True,33.174396
40,active,idle,False,42.654426
41,idle,idle,True,46.575402
42,active,idle,False,45.889921
43,idle,idle,True,39.456755
44,active,idle,False,44.266154
45,idle,idle,True,42.897843
46,active,idle,False,47.237843
47,idle,idle,True,44.895519
48,active,idle,False,45.033592
49,idle,idle,True,41.494586
50,active,idle,False,53.386483
51,idle,idle,True,41.870281
52,active,idle,False,47.835507
53,idle,idle,True,48.298907
54,active,idle,False,47.113864
55,idle,idle,True,47.853991
56,active,idle,False,44.724987
57,idle,idle,True,36.795352
58,active,idle,False,44.583901
59,idle,idle,True,52.132369
