trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,active,True,70.373866
1,idle,active,False,54.709722
2,active,active,True,61.749115
3,idle,active,False,64.417686
4,active,active,True,72.900649
5,idle,active,False,63.83032
6,active,active,True,63.465832
7,idle,active,False,58.603653
8,active,active,True,70.682604
9,idle,active,False,61.608686
10,active,active,True,60.285996
11,idle,active,False,69.54595
12,active,active,True,53.265517
13,idle,active,False,69.120389
14,active,active,True,65.764741
15,idle,active,False,61.360623
16,active,active,True,55.381396
17,idle,active,False,59.588496
18,active,active,True,54.046216
19,idle,active,False,58.332707
20,active,active,True,53.411253
21,idle,active,False,58.713123
22,active,active,True,63.03352
23,idle,active,False,57.024169
24,active,active,True,68.079603
25,idle,active,False,66.709604
26,active,active,True,63.735435
27,idle,active,False,58.196048
28,active,active,True,54.219171
29,idle,active,False,58.040873
30,active,active,True,61.16945
31,idle,active,False,59.718897
32,active,active,True,66.377474
33,idle,active,False,50.167771
34,active,active,True,49.855169
35,idle,active,False,66.197987
36,active,active,True,74.701668
37,idle,active,False,60.770737
38,active,active,True,63.090335
39,idle,active,False,61.543824
