trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,active,True,37.3692
1,idle,idle,True,21.685081
2,active,active,True,33.586294
3,idle,idle,True,23.65787
4,active,active,True,36.374898
5,idle,idle,True,22.780231
6,active,active,True,40.677774
7,idle,idle,True,21.607651
8,active,active,True,37.852873
9,idle,idle,True,22.830838
10,active,active,True,36.409469
11,idle,idle,True,20.844502
12,active,active,True,36.356588
13,idle,idle,True,20.868183
14,active,active,True,43.100567
15,idle,idle,True,21.804503
16,active,active,True,36.129116
17,idle,idle,True,20.950523
18,active,active,True,33.492104
19,idle,idle,True,21.448701
20,active,active,True,36.875909
21,idle,idle,True,20.950935
22,active,active,True,34.063832
23,idle,idle,True,20.935147
24,active,active,True,36.290241
25,idle,idle,True,21.1792
26,active,active,True,34.83634
27,idle,idle,True,21.026644
28,active,active,True,36.412312
29,idle,idle,True,21.424457
30,active,active,True,34.675503
31,idle,idle,True,20.578459
32,active,active,True,41.075539
33,idle,idle,True,20.801336
34,active,active,True,39.457379
35,idle,idle,True,21.102478
36,active,active,True,33.83122
37,idle,idle,True,21.341958
38,active,active,True,35.361477
39,idle,idle,True,20.491446
