trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,idle,False,36.054779
1,idle,idle,True,29.430838
2,active,idle,False,34.858138
3,idle,idle,True,27.219075
4,active,idle,False,42.504676
5,idle,idle,True,30.439696
6,active,idle,False,36.322223
7,idle,idle,True,37.014542
8,active,idle,False,44.198152
9,idle,idle,True,38.062873
10,active,idle,False,51.717016
11,idle,idle,True,39.836837
12,active,idle,False,43.473479
13,idle,idle,True,37.812249
14,active,idle,False,44.839212
15,idle,idle,True,44.278727
16,active,idle,False,41.677215
17,idle,idle,True,39.723666
18,active,idle,False,45.658509
19,idle,idle,True,35.959735
20,active,idle,False,41.293298
21,idle,idle,True,38.564062
22,active,idle,False,45.352567
23,idle,idle,True,33.687148
24,active,idle,False,39.664059
25,idle,idle,True,32.389425
26,active,idle,False,40.553624
27,idle,idle,True,43.166101
28,active,idle,False,37.781893
29,idle,idle,True,31.901921
30,active,idle,False,38.22667
31,idle,idle,True,35.86406
32,active,idle,False,39.100381
33,idle,idle,True,29.892986
34,active,idle,False,36.317667
35,idle,idle,True,34.023388
36,active,idle,False,41.739463
37,idle,idle,True,42.135123
38,active,idle,False,37.938595
39,idle,idle,True,28.034515
