trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,active,True,94.712109
1,idle,idle,True,45.072073
2,active,active,True,338.287714
3,idle,idle,True,37.494294
4,active,active,True,417.668367
5,idle,idle,True,48.918229
6,active,active,True,82.627955
7,idle,idle,True,45.227662
8,active,active,True,81.204748
9,idle,idle,True,30.796987
10,active,active,True,121.664232
11,idle,idle,True,27.394011
12,active,active,True,116.936897
13,idle,idle,True,30.975819
14,active,active,True,101.922805
15,idle,idle,True,32.867393
16,active,active,True,115.676019
17,idle,idle,True,30.005949
18,active,active,True,106.30613
19,idle,idle,True,25.08213
20,active,active,True,84.5124
21,idle,idle,True,42.096022
22,active,active,True,87.58458
23,idle,idle,True,25.833562
24,active,active,True,123.306353
25,idle,active,False,85.138221
26,active,active,True,97.550162
27,idle,idle,True,47.415617
28,active,active,True,83.230859
29,idle,idle,True,25.702025
30,active,active,True,82.770351
31,idle,idle,True,29.70781
32,active,active,True,131.030573
33,idle,active,False,60.20485
34,active,active,True,108.429745
35,idle,idle,True,29.174772
36,active,active,True,104.735404
37,idle,idle,True,26.979195
38,active,active,True,125.246794
39,idle,idle,True,37.989794
