adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,8000,1155,59,24,7761.05078125,6,16.976,200,67.505015,hot,0,1788620801081721549
med,8000,1830,60,6,7734.42578125,2,25.495,200,51.050213,ram_evicted,0,1788620801754314925
med,8000,2550,64,20,7744.17578125,12,36.464,200,137.230519,disk_evicted,0,1788620802483407587
med,8000,2550,64,6,7744.17578125,4,32.252,200,32.947672,hot,1,1788620802866542622
med,8000,2535,65,40,7740.86328125,29,34.094,200,43.545393,ram_evicted,1,1788620803215793935
med,8000,2535,64,25,7726.73828125,16,51.673,200,156.153966,disk_evicted,1,1788620803872595304
med,8000,2535,63,12,7767.61328125,7,34.43,200,35.658955,hot,2,1788620804275637428
med,8000,2535,63,44,7770.23828125,29,45.342,200,52.957666,ram_evicted,2,1788620804589041713
med,8000,2535,64,17,7743.92578125,11,32.232,200,147.789085,disk_evicted,2,1788620805243053003
med,8000,2535,64,32,7743.86328125,20,32.121,200,41.769836,hot,3,1788620805627740664
med,8000,2535,64,36,7760.42578125,26,44.364,200,43.543418,ram_evicted,3,1788620806028722375
med,8000,2535,63,16,7758.05078125,11,37.03,200,235.385455,disk_evicted,3,1788620806629747031
med,8000,2535,63,24,7772.95703125,17,32.722,200,34.677617,hot,4,1788620807108451384
med,8000,2535,64,40,7772.95703125,28,32.444,200,48.157745,ram_evicted,4,1788620807442827984
med,8000,2535,67,30,7772.95703125,20,45.566,200,135.458041,disk_evicted,4,1788620808067047174
med,8000,2535,67,29,7772.95703125,20,31.932,200,32.628564,hot,5,1788620808441579430
med,8000,2535,66,39,7772.95703125,28,80.317,200,40.369322,ram_evicted,5,1788620808755995363
med,8000,2535,65,23,7766.14453125,16,39.292,200,187.142838,disk_evicted,5,1788620809312093337
med,8000,2535,65,29,7766.14453125,20,32.346,200,31.783104,hot,6,1788620809740258472
med,8000,2535,64,10,7766.14453125,6,36.937,200,41.740446,ram_evicted,6,1788620810072256255
med,8000,2535,66,15,7784.14453125,10,36.892,200,187.962176,disk_evicted,6,1788620810805399577
med,8000,2535,66,28,7816.33203125,20,35.024,200,35.625378,hot,7,1788620811236833309
med,8000,2535,66,44,7816.61328125,28,42.837,200,42.306858,ram_evicted,7,1788620811561509721
med,8000,2535,65,16,7779.26953125,11,34.69,200,196.106213,disk_evicted,7,1788620812230685578
med,8000,2535,66,13,7821.20703125,10,45.822,200,34.02006,hot,8,1788620812669398618
med,8000,2535,66,44,7821.45703125,34,47.388,200,46.184462,ram_evicted,8,1788620813023807128
med,8000,2535,64,19,7808.08203125,11,46.412,200,137.678676,disk_evicted,8,1788620813624135666
med,8000,2535,64,32,7794.51953125,19,45.402,200,34.042131,hot,9,1788620814007541156
med,8000,2535,64,30,7809.08203125,20,42.345,200,44.4864,ram_evicted,9,1788620814381209961
med,8000,2535,67,18,7795.33203125,10,45.688,200,232.284289,disk_evicted,9,1788620814948334330
med,8000,2280,66,33,7822.64453125,23,43.672,200,38.441586,hot,10,1788620815424536776
med,8000,2370,66,44,7801.01953125,25,38.784,200,48.438696,ram_evicted,10,1788620815785206501
med,8000,2535,68,20,7800.80078125,11,42.257,200,150.247402,disk_evicted,10,1788620816384158941
med,8000,2535,68,30,7800.67578125,21,44.102,200,38.143437,hot,11,1788620816774430311
med,8000,2535,65,23,7795.48828125,14,43.977,200,44.536502,ram_evicted,11,1788620817112776867
med,8000,2535,66,9,7804.05078125,5,45.932,200,241.243982,disk_evicted,11,1788620817712382396
med,8000,2535,66,28,7803.86328125,20,33.156,200,36.185891,hot,12,1788620818198246741
