correct,gpu_temp_c,ground_truth,latency_a_ms,latency_b_ms,predicted,trial,wall_timestamp_a_ns,wall_timestamp_b_ns
True,69,A,32.755593,283.676749,A,0,1788620831270467379,1788620831307439417
True,67,B,131.731317,32.487138,B,1,1788620833249714285,1788620833384683407
True,67,both,36.843933,34.951242,both,2,1788620835079499178,1788620835119430056
True,67,neither,125.94417,315.707427,neither,3,1788620836542574999,1788620836676432344
True,69,A,32.79396,354.047417,A,4,1788620838387862794,1788620838429847884
True,67,B,124.04571,33.049298,B,5,1788620840509833026,1788620840643607655
True,67,both,33.011531,32.189629,both,6,1788620842582871581,1788620842622065508
True,70,neither,121.559335,265.858387,neither,7,1788620843987251694,1788620844112879789
True,69,A,32.518974,255.208232,A,8,1788620845914605596,1788620845955635388
True,67,B,127.336382,33.346673,B,9,1788620848037336219,1788620848168451053
True,67,both,35.106842,36.440473,both,10,1788620850033969750,1788620850072433195
True,70,neither,130.022051,289.841054,neither,11,1788620851525878521,1788620851670279964
True,72,A,33.055983,319.506961,A,12,1788620853502628755,1788620853541424433
True,68,B,148.944847,35.904195,B,13,1788620855575651016,1788620855728334907
True,69,both,34.993544,32.037269,both,14,1788620857734645918,1788620857775506813
True,71,neither,138.784355,335.399073,neither,15,1788620859258782161,1788620859400651840
True,72,A,38.016977,335.321994,A,16,1788620861410898804,1788620861453705203
True,69,B,145.882745,35.042442,B,17,1788620863663996289,1788620863823595876
True,69,both,34.08012,33.84906,both,18,1788620865812890786,1788620865851758298
True,74,neither,180.400598,303.413093,neither,19,1788620867326046226,1788620867508852341
True,70,A,34.890489,316.262362,A,20,1788620869343124141,1788620869389766521
True,69,B,139.202302,30.100435,B,21,1788620871551447986,1788620871693872065
True,71,both,39.519967,37.203163,both,22,1788620873757244141,1788620873800635924
True,71,neither,224.702729,611.121401,neither,23,1788620875474031109,1788620875704890460
True,70,A,38.785052,361.230868,A,24,1788620878377680833,1788620878420395286
True,71,B,169.726135,33.212072,B,25,1788620880687335617,1788620880860621759
True,71,both,32.813652,32.814707,both,26,1788620883154362069,1788620883195297728
True,77,neither,140.324127,310.583402,neither,27,1788620884774559370,1788620884918101232
True,74,A,35.006439,309.020612,A,28,1788620886766015385,1788620886805224529
True,71,B,127.721186,33.014445,B,29,1788620888689024769,1788620888819089259
True,72,both,35.681994,36.160504,both,30,1788620890511528695,1788620890550601263
True,76,neither,134.917778,306.101575,neither,31,1788620891942025686,1788620892081598047
True,72,A,32.098736,304.62661,A,32,1788620893830295340,1788620893871952761
True,71,B,151.556499,32.485727,B,33,1788620895863149769,1788620896025252797
True,71,both,35.547696,33.211229,both,34,1788620898154689565,1788620898194766700
True,72,neither,130.737224,312.669086,neither,35,1788620899688945375,1788620899841397982
True,72,A,36.330561,309.537984,A,36,1788620901587133051,1788620901641126675
True,71,B,135.761566,35.736059,B,37,1788620903561680637,1788620903699718067
True,72,both,35.989977,36.832717,both,38,1788620905448819589,1788620905488286816
True,75,neither,131.757662,285.372456,neither,39,1788620906904806508,1788620907040935933
