adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,810,825,70,3,8002.59765625,11,16.239,200,301.726839,hot,0,1788638641095769715
med,7000,2370,71,11,7967.97265625,9,28.512,200,301.615893,ram_evicted,0,1788638642320171646
med,6000,870,70,23,7957.91015625,7,17.254,200,301.883757,disk_evicted,0,1788638644469433316
med,6000,870,70,5,7952.59765625,2,16.781,200,301.857852,hot,1,1788638645303858659
med,6000,585,70,38,7948.66015625,10,16.845,200,301.690652,ram_evicted,1,1788638646532532649
med,6000,675,70,33,7917.28515625,11,16.934,200,301.71334,disk_evicted,1,1788638648713515058
med,6000,495,70,3,7917.28515625,2,16.83,200,301.823945,hot,2,1788638649528513546
med,6000,570,70,40,7910.97265625,11,17.262,200,302.327317,ram_evicted,2,1788638650759374262
med,6000,765,70,29,7793.72265625,10,16.749,200,301.766538,disk_evicted,2,1788638652941390831
med,6000,525,70,2,7772.53515625,1,16.708,200,302.60275,hot,3,1788638653757790676
med,6000,510,70,42,7774.28515625,9,17.001,200,301.649683,ram_evicted,3,1788638655006085957
med,6000,630,70,35,7773.09765625,10,17.293,200,302.334798,disk_evicted,3,1788638657163048600
med,6000,540,70,9,7762.34765625,2,16.897,200,302.384701,hot,4,1788638657983733600
med,6000,675,69,24,7830.72265625,4,16.928,200,301.994454,ram_evicted,4,1788638659236718327
med,6000,885,70,28,7961.44140625,10,16.842,200,301.836762,disk_evicted,4,1788638661434581413
med,6000,615,69,2,7953.31640625,2,16.739,200,301.681196,hot,5,1788638662252986877
med,6000,555,70,40,7941.06640625,10,16.987,200,301.98797,ram_evicted,5,1788638663508866944
med,6000,630,70,18,7899.28515625,5,17.398,200,301.725842,disk_evicted,5,1788638665670942344
med,6000,525,70,2,7898.97265625,2,16.843,200,302.378856,hot,6,1788638666495902113
med,6000,810,69,59,7931.66015625,12,17.228,200,302.159945,ram_evicted,6,1788638667761195119
med,6000,645,69,34,7986.28515625,10,16.981,200,301.71666,disk_evicted,6,1788638669950207484
med,6000,525,69,2,7984.84765625,2,16.885,200,302.976556,hot,7,1788638670764551168
med,6000,555,70,41,7976.84765625,11,16.976,200,302.039848,ram_evicted,7,1788638672003719509
med,6000,825,69,40,7933.91015625,14,16.753,200,301.897629,disk_evicted,7,1788638674252538589
med,6000,825,69,2,7929.91015625,2,17.294,200,302.49513,hot,8,1788638675069271873
med,6000,570,69,38,7929.91015625,10,16.778,200,301.91164,ram_evicted,8,1788638676316753162
med,6000,990,70,36,7983.48828125,11,16.976,200,301.764746,disk_evicted,8,1788638678517919430
med,6000,990,69,8,7977.80078125,2,16.886,200,302.021769,hot,9,1788638679341397677
med,6000,735,70,34,7977.80078125,8,17.024,200,301.773825,ram_evicted,9,1788638680568089819
med,8000,1605,70,15,7975.14453125,8,21.837,200,301.632553,disk_evicted,9,1788638682728166369
med,6000,855,69,14,7975.01953125,6,20.647,200,302.475566,hot,10,1788638683541347080
med,8000,2370,72,7,7979.58984375,3,32.998,200,302.370852,ram_evicted,10,1788638684764269723
med,8000,2370,72,10,7895.08984375,8,33.231,200,302.378403,disk_evicted,10,1788638686915139108
med,6000,900,70,2,7894.96484375,1,26.618,200,302.026887,hot,11,1788638687730595072
med,6000,720,70,37,7871.62109375,11,17.185,200,302.244765,ram_evicted,11,1788638688956346822
med,6000,540,69,40,7816.49609375,10,17.121,200,301.954382,disk_evicted,11,1788638691131976814
med,6000,540,70,2,7812.43359375,1,16.929,200,302.231687,hot,12,1788638691951646346
med,6000,735,69,28,7816.43359375,10,17.002,200,301.894334,ram_evicted,12,1788638693223613668
med,6000,540,69,43,7761.99609375,10,16.961,200,301.802899,disk_evicted,12,1788638695381192597
med,6000,540,69,2,7765.99609375,1,16.919,200,301.971633,hot,13,1788638696202925669
