adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,6000,2370,53,1,8064.328125,4,22.183,200,47.675153,hot,0,1788833747507010712
med,7000,2370,53,10,8064.328125,9,26.532,200,40.432807,ram_evicted,0,1788833748112048811
med,7000,2370,55,19,8064.328125,16,31.12,200,63.052419,disk_evicted,0,1788833748626873993
med,7000,2370,55,29,8064.328125,23,32.4,200,27.002597,hot,1,1788833748921211330
med,7000,1785,55,18,8064.328125,16,34.788,200,37.180673,ram_evicted,1,1788833749083997418
med,7000,2400,55,51,8064.328125,32,33.967,200,50.171051,disk_evicted,1,1788833749374099758
med,8000,2550,57,22,8064.328125,14,36.129,200,25.631387,hot,2,1788833749654453825
med,8000,2550,57,31,8064.328125,24,38.219,200,28.571643,ram_evicted,2,1788833749796763848
med,8000,2550,57,46,8064.328125,35,42.902,200,36.921078,disk_evicted,2,1788833750043082076
med,8000,2550,59,34,8064.328125,27,44.915,200,24.762814,hot,3,1788833750309903633
med,8000,2550,59,16,8064.328125,14,45.573,200,29.973227,ram_evicted,3,1788833750443841099
med,8000,2550,59,51,8063.578125,40,50.096,200,35.502676,disk_evicted,3,1788833750686423719
med,8000,2550,57,43,8063.578125,33,48.904,200,37.748381,hot,4,1788833750950204895
med,8000,2550,57,10,8063.578125,8,46.86,200,29.6312,ram_evicted,4,1788833751107831346
med,8000,2550,57,43,8063.578125,33,48.611,200,34.844884,disk_evicted,4,1788833751362090555
med,8000,2550,60,16,8063.578125,14,47.886,200,24.159463,hot,5,1788833751627307779
med,8000,2550,60,16,8059.578125,14,46.91,200,29.818848,ram_evicted,5,1788833751765867430
med,8000,2550,60,54,8059.578125,39,49.596,200,35.459028,disk_evicted,5,1788833752040289000
med,8000,2550,60,26,8059.578125,20,47.091,200,25.046087,hot,6,1788833752306023740
med,8000,2550,60,19,8059.578125,15,46.4,200,28.930532,ram_evicted,6,1788833752440561513
med,8000,2550,57,49,8059.578125,38,50.026,200,35.360446,disk_evicted,6,1788833752691330670
med,8000,2550,57,45,8059.578125,33,48.796,200,23.971536,hot,7,1788833752961914044
med,8000,2550,57,6,8059.578125,5,46.214,200,31.295013,ram_evicted,7,1788833753102516912
med,8000,2550,57,52,8059.578125,37,48.752,200,33.479462,disk_evicted,7,1788833753348092543
med,8000,2550,59,9,8059.578125,8,47.887,200,23.01148,hot,8,1788833753622375246
med,8000,2550,59,9,8059.578125,8,47.063,200,28.520941,ram_evicted,8,1788833753747344310
med,8000,2550,59,46,8059.578125,33,49.704,200,43.703219,disk_evicted,8,1788833754001869543
med,8000,2550,59,26,8059.578125,20,49.703,200,22.420102,hot,9,1788833754278147699
med,8000,2550,59,25,8059.578125,20,47.06,200,28.759557,ram_evicted,9,1788833754407973979
med,8000,2550,59,53,8059.578125,39,50.493,200,36.568539,disk_evicted,9,1788833754672302210
med,8000,2550,57,35,8059.578125,28,48.048,200,23.140339,hot,10,1788833754939234225
med,8000,2550,57,12,8059.578125,11,46.383,200,30.157578,ram_evicted,10,1788833755073589142
med,8000,2550,57,50,8059.578125,39,49.619,200,34.61654,disk_evicted,10,1788833755320742885
med,8000,2550,61,1,8059.578125,2,47.175,200,22.579936,hot,11,1788833755586240123
med,8000,2550,61,1,8059.578125,2,46.835,200,28.275426,ram_evicted,11,1788833755717495133
med,8000,2550,61,50,8059.578125,39,50.615,200,36.153145,disk_evicted,11,1788833755955911746
med,8000,2550,59,14,8059.578125,12,48.889,200,27.079669,hot,12,1788833756224311345
