adapter,gpu_clock_mem_mhz,gpu_clock_sm_mhz,gpu_gpu_temp_c,gpu_gpu_util_pct,gpu_mem_used_mib,gpu_mem_util_pct,gpu_power_w,http_status,latency_ms,state,trial,wall_timestamp_ns
med,7000,2370,39,41,7999.14453125,35,6.761,200,156.430444,hot,0,1788645233961424294
med,7000,990,40,98,7998.89453125,5,15.15,200,699.619347,ram_evicted,0,1788645235437551031
med,7000,1140,40,88,8001.83203125,7,14.182,200,352.373599,disk_evicted,0,1788645239290474226
med,7000,1695,40,34,8001.70703125,4,14.829,200,187.189539,hot,1,1788645240370154035
med,7000,900,40,90,7999.64453125,6,14.905,200,681.343012,ram_evicted,1,1788645241803872568
med,7000,870,40,100,7996.51953125,7,14.13,200,361.80134,disk_evicted,1,1788645245500037241
med,6000,255,40,66,7994.83203125,8,14.071,200,450.189699,hot,2,1788645246631301579
med,7000,1110,40,100,8008.58984375,5,14.6,200,770.831567,ram_evicted,2,1788645249006166901
med,7000,705,40,100,8009.1328125,4,14.571,200,677.517568,disk_evicted,2,1788645253033025086
med,6000,210,40,54,8007.8828125,5,14.083,200,539.304785,hot,3,1788645254205510040
med,6000,1290,40,100,8008.3203125,30,11.172,200,303.113942,ram_evicted,3,1788645256125172645
med,7000,1215,40,62,8003.1953125,9,16.366,200,344.982932,disk_evicted,3,1788645258499124996
med,7000,1710,40,11,8003.1953125,3,16.26,200,188.838298,hot,4,1788645259311284440
med,7000,1005,40,38,8002.6953125,6,14.49,200,295.307962,ram_evicted,4,1788645260737692598
med,7000,1245,40,60,8008.0078125,9,16.537,200,341.14329,disk_evicted,4,1788645263720824495
med,7000,1770,40,9,8007.6953125,3,16.28,200,197.568143,hot,5,1788645264506494382
med,7000,615,40,99,8007.6953125,7,15.969,200,284.85583,ram_evicted,5,1788645265892663366
med,7000,1215,40,100,8004.25390625,3,14.814,200,381.922348,disk_evicted,5,1788645268824942543
med,7000,1770,41,59,8004.2421875,9,15.698,200,211.399445,hot,6,1788645269635921398
med,7000,1200,41,4,7994.95703125,2,16.261,200,318.434664,ram_evicted,6,1788645271034193616
med,7000,1050,40,100,7995.01953125,6,14.363,200,467.464473,disk_evicted,6,1788645274321202701
med,6000,255,41,41,7989.23828125,4,15.304,200,489.358975,hot,7,1788645275375737441
med,7000,1050,40,100,7987.42578125,7,14.188,200,325.747336,ram_evicted,7,1788645277496411798
med,7000,1140,40,60,7983.30078125,9,14.835,200,482.784247,disk_evicted,7,1788645280893592489
med,6000,315,40,70,7984.30078125,6,14.123,200,419.712346,hot,8,1788645282028171848
med,7000,825,40,100,7979.37109375,6,14.115,200,293.386964,ram_evicted,8,1788645284112782391
med,7000,1050,40,3,7979.68359375,2,14.813,200,499.526288,disk_evicted,8,1788645287430222218
med,7000,1650,40,38,7976.67578125,3,14.422,200,191.810379,hot,9,1788645288555936692
med,7000,990,40,97,7974.11328125,7,15.063,200,720.631578,ram_evicted,9,1788645289979788629
med,7000,1245,40,5,7974.11328125,2,14.639,200,491.981776,disk_evicted,9,1788645293649530274
med,7000,1635,40,33,7974.11328125,3,14.384,200,200.045108,hot,10,1788645294747253354
med,7000,1080,40,76,7974.11328125,6,15.102,200,645.663315,ram_evicted,10,1788645296187803369
med,6000,450,40,47,7981.62109375,7,15.405,200,718.890736,disk_evicted,10,1788645299521080779
med,6000,510,40,8,7981.93359375,3,14.166,200,518.085637,hot,11,1788645300691114880
med,6000,1155,41,57,7982.18359375,10,15.779,200,263.010721,ram_evicted,11,1788645302493030883
med,7000,1095,41,3,7985.30859375,2,16.439,200,356.233593,disk_evicted,11,1788645304844166894
med,6000,555,41,4,7984.67578125,1,16.256,200,545.471175,hot,12,1788645305666858404
med,6000,1230,41,76,7984.67578125,6,15.17,200,635.502585,ram_evicted,12,1788645307611171639
med,6000,420,41,44,7984.67578125,7,15.42,200,679.009284,disk_evicted,12,1788645310938271469
med,6000,465,40,0,7984.36328125,2,14.104,200,526.541834,hot,13,1788645312053641738
med,7000,735,41,100,8007.87109375,7,14.828,200,299.687717,ram_evicted,13,1788645314134179056
med,7000,885,41,87,7991.93359375,6,14.2,200,357.635557,disk_evicted,13,1788645317651080485
med,6000,315,40,52,7984.67578125,6,15.172,200,434.374842,hot,14,1788645318580876753
med,7000,1020,40,87,7954.42578125,7,14.242,200,296.65368,ram_evicted,14,1788645320450046004
