trial,ground_truth,predicted,correct,self_probe_latency_ms
0,active,active,True,161.752388
1,idle,idle,True,56.056441
2,active,active,True,95.770049
3,idle,active,False,92.99599
4,active,active,True,111.433644
5,idle,active,False,120.758881
6,active,active,True,111.819547
7,idle,idle,True,55.030117
8,active,idle,False,55.831477
9,idle,active,False,134.077999
10,active,active,True,106.475269
11,idle,active,False,95.989239
12,active,active,True,111.490817
13,idle,active,False,126.039727
14,active,active,True,126.234331
15,idle,active,False,63.984649
16,active,active,True,94.40399
17,idle,active,False,62.667272
18,active,idle,False,56.011961
19,idle,active,False,89.32668
20,active,active,True,121.351716
21,idle,active,False,110.72845
22,active,active,True,74.912329
23,idle,active,False,96.457473
24,active,active,True,66.803489
25,idle,active,False,63.40397
26,active,active,True,85.038408
27,idle,active,False,63.79165
28,active,active,True,65.453291
29,idle,active,False,77.775099
30,active,idle,False,59.483045
31,idle,idle,True,50.124013
32,active,idle,False,52.653558
33,idle,idle,True,54.141149
34,active,idle,False,54.049452
35,idle,idle,True,48.611038
36,active,idle,False,49.739041
37,idle,idle,True,53.516753
38,active,active,True,60.504373
39,idle,idle,True,53.775916
40,active,active,True,74.348124
41,idle,active,False,63.454374
42,active,idle,False,57.193838
43,idle,active,False,68.756871
44,active,idle,False,50.114778
45,idle,active,False,65.94972
46,active,active,True,70.604526
47,idle,idle,True,59.17193
48,active,active,True,83.302366
49,idle,active,False,147.119756
50,active,active,True,90.479123
51,idle,active,False,69.372937
52,active,active,True,104.07584
53,idle,active,False,108.476962
54,active,active,True,77.376979
55,idle,active,False,62.569466
56,active,active,True,86.025387
57,idle,active,False,60.999888
58,active,active,True,60.042966
59,idle,active,False,62.403504
