rate,trial,latency_ms
0.0,0,67.631811
0.0,1,50.623283
0.0,2,328.037543
0.0,3,46.315287
0.0,4,64.437296
0.0,5,80.526356
0.0,6,84.756994
0.0,7,81.970339
0.0,8,70.547325
0.0,9,83.803215
0.0,10,70.623605
0.0,11,73.456478
0.0,12,55.800348
0.0,13,64.190082
0.0,14,60.536263
0.1,0,76.905727
0.1,1,52.224618
0.1,2,70.02548
0.1,3,63.355085
0.1,4,43.843583
0.1,5,44.638549
0.1,6,48.981946
0.1,7,59.731558
0.1,8,29.692715
0.1,9,41.075085
0.1,10,35.939932
0.1,11,50.257565
0.1,12,53.730622
0.1,13,55.008303
0.1,14,55.397719
0.3,0,54.255094
0.3,1,46.510341
0.3,2,43.320493
0.3,3,40.712979
0.3,4,45.556604
0.3,5,33.079152
0.3,6,29.744848
0.3,7,21.464307
0.3,8,32.559503
0.3,9,40.077526
0.3,10,41.148243
0.3,11,25.103634
0.3,12,57.457585
0.3,13,21.493377
0.3,14,40.812154
0.5,0,33.217918
0.5,1,53.515403
0.5,2,25.31337
0.5,3,35.88044
0.5,4,38.655738
0.5,5,40.74033
0.5,6,36.938516
0.5,7,55.83807
0.5,8,39.556225
0.5,9,39.69944
0.5,10,35.894079
0.5,11,35.641588
0.5,12,20.720894
0.5,13,34.348428
0.5,14,46.773649
1.0,0,39.949357
1.0,1,38.754745
1.0,2,38.750156
1.0,3,41.582102
1.0,4,37.823159
1.0,5,34.861548
1.0,6,31.91485
1.0,7,40.497016
1.0,8,58.21711
1.0,9,41.059103
1.0,10,42.126855
1.0,11,40.873899
1.0,12,33.486272
1.0,13,100.249607
1.0,14,36.666588
2.0,0,47.129705
2.0,1,43.812809
2.0,2,46.101252
2.0,3,33.742576
2.0,4,33.297981
2.0,5,36.272962
2.0,6,33.236601
2.0,7,37.03138
2.0,8,37.969902
2.0,9,37.10948
2.0,10,33.049314
2.0,11,31.299329
2.0,12,28.366859
2.0,13,36.065802
2.0,14,34.183913
