rate,trial,session_order,latency_ms
2.0,13,0,30.320938
0.3,14,1,47.915408
0.0,4,2,54.029054
0.0,9,3,64.335274
1.0,14,4,35.287346
0.5,11,5,66.55369
1.0,6,6,43.641448
0.1,9,7,71.387293
0.3,12,8,61.437801
0.1,5,9,29.997848
0.5,6,10,56.019358
0.1,8,11,47.617422
2.0,12,12,38.172573
0.0,10,13,51.17468
0.3,7,14,38.798645
1.0,7,15,39.603161
2.0,14,16,35.306966
1.0,9,17,48.739321
0.0,5,18,62.461705
1.0,10,19,35.412577
0.1,10,20,42.947691
0.3,8,21,42.696569
0.5,2,22,35.139895
0.5,0,23,42.485166
0.3,0,24,48.072213
0.5,13,25,36.207694
0.1,1,26,38.845978
2.0,1,27,32.602287
2.0,10,28,32.283098
2.0,0,29,38.32057
0.5,9,30,41.528026
0.3,9,31,32.73185
0.1,4,32,46.124514
2.0,4,33,37.277957
0.3,6,34,53.063601
1.0,1,35,47.576232
2.0,11,36,37.629215
0.1,6,37,44.029536
0.0,7,38,57.87199
2.0,7,39,31.469372
0.0,11,40,45.9401
0.0,6,41,79.71485
0.3,11,42,40.805863
0.5,8,43,31.038575
2.0,5,44,39.824253
0.5,14,45,34.061769
0.1,3,46,47.008521
1.0,11,47,37.679658
0.5,5,48,42.128121
0.3,13,49,36.531543
0.5,7,50,36.457479
0.1,7,51,35.539447
1.0,13,52,70.165624
0.3,5,53,41.770311
0.3,1,54,56.799649
0.1,13,55,41.758769
1.0,4,56,35.28453
0.0,14,57,53.534375
0.3,3,58,40.811943
1.0,5,59,53.50822
0.5,1,60,33.020177
2.0,9,61,28.347495
2.0,3,62,36.047974
0.1,12,63,54.683905
2.0,6,64,36.056921
0.0,1,65,57.161228
1.0,8,66,38.567798
0.0,2,67,76.096155
2.0,2,68,38.732222
0.3,10,69,48.633871
0.0,13,70,71.499827
0.1,14,71,60.245564
0.3,4,72,65.712113
2.0,8,73,41.965945
0.0,0,74,80.231194
0.5,10,75,52.510282
0.5,4,76,34.870616
0.0,3,77,64.235379
1.0,2,78,41.375281
0.0,12,79,86.894163
0.1,11,80,66.927576
0.5,3,81,36.049401
1.0,0,82,44.426364
0.5,12,83,38.122828
1.0,3,84,43.456367
0.1,0,85,36.989987
0.3,2,86,46.923098
0.0,8,87,69.015108
1.0,12,88,30.932584
0.1,2,89,48.471802
